Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-March-2020,18000.00,19301.10,17770.15,18914.90,18584.552123552123552123,259,198,4813399.00,119,45.95,1530.95,914.90
30-March-2020,17499.95,17500.00,16928.15,17414.45,17278.976331360946745562,169,116,2920147.00,70,41.42,571.85,-85.50
27-March-2020,18199.80,18541.95,17421.00,17637.35,17913.306179775280898876,356,249,6377137.00,187,52.53,1120.95,-562.45
26-March-2020,16971.70,18220.30,16667.90,17925.80,17855.129411764705882352,425,281,7588430.00,216,50.82,1552.40,954.10
25-March-2020,16018.00,16972.15,15685.60,16840.00,16450.232835820895522388,670,368,11021656.00,289,43.13,1286.55,822.00
24-March-2020,16999.80,16999.80,15911.00,16018.10,16266.855855855855855855,444,233,7222484.00,198,44.59,1088.80,-981.70
23-March-2020,17000.00,17000.00,15706.50,15884.65,16072.649572649572649572,702,380,11283000.00,397,56.55,1293.50,-1115.35
20-March-2020,17051.00,17576.00,16932.05,17316.25,17256.195000000000000000,400,281,6902478.00,209,52.25,643.95,265.25
19-March-2020,17132.25,17550.00,16330.00,16928.10,17027.892954339280314484,6614,686,112622484.00,6041,91.34,1220.00,-204.15
18-March-2020,18305.40,18499.95,17479.00,17537.50,17776.763406940063091482,951,412,16905702.00,504,53.00,1020.95,-767.90
17-March-2020,18950.00,18950.00,17909.40,18021.95,18434.868888888888888888,450,270,8295691.00,202,44.89,1040.60,-928.05
16-March-2020,19300.00,19400.00,18500.00,18639.55,18827.361054766734279918,986,483,18563778.00,513,52.03,900.00,-660.45
13-March-2020,19001.00,20050.35,17000.00,19760.85,19237.832283464566929133,1270,600,24432047.00,757,59.61,3050.35,759.85
12-March-2020,20300.00,20300.00,18600.00,19081.75,19149.577777777777777777,1170,621,22405006.00,483,41.28,1700.00,-1218.25
11-March-2020,21315.00,21315.00,20243.90,20634.95,20827.849206349206349206,630,348,13121545.00,368,58.41,1071.10,-680.05
9-March-2020,22550.00,22765.75,20956.65,21018.40,21542.478303747534516765,1014,564,21844073.00,453,44.67,1809.10,-1531.60
6-March-2020,22800.00,23640.00,21800.00,22638.45,22892.138740661686232657,1874,931,42899868.00,598,31.91,1840.00,-161.55
5-March-2020,22700.00,24348.00,22651.00,22869.75,23501.504029432375613174,5708,2533,134146585.00,1698,29.75,1697.00,169.75
4-March-2020,20800.00,22550.00,20512.60,22341.90,21886.793395940624053317,3301,1586,72248305.00,980,29.69,2037.40,1541.90
3-March-2020,20556.40,21000.00,20365.00,20665.15,20650.534746760895170789,849,367,17532304.00,596,70.20,635.00,108.75
