Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-March-2020,438.00,447.00,424.10,440.60,438.328298699773714828,3585299,10138,1571538011.00,808133,22.54,22.90,2.60
30-March-2020,448.00,449.25,427.45,429.25,432.190612467417887527,720871,5594,311553679.00,540758,75.01,21.80,-18.75
27-March-2020,475.00,475.00,437.45,448.90,449.926602894301679014,1177417,11150,529751231.00,865364,73.50,37.55,-26.10
26-March-2020,434.00,494.05,420.60,478.00,454.379967561705614118,418641,9661,190222084.00,70283,16.79,73.45,44.00
25-March-2020,400.00,437.80,400.00,429.75,423.808919207032874577,209189,6086,88656164.00,28621,13.68,37.80,29.75
24-March-2020,414.00,435.55,400.70,404.05,411.774316918927373114,338869,6203,139537551.00,94751,27.96,34.85,-9.95
23-March-2020,420.00,470.00,399.65,405.80,423.709839607056626499,361986,10005,153377030.00,119446,33.00,70.35,-14.20
20-March-2020,449.90,472.15,437.00,461.90,454.328163657311464155,547681,13809,248826903.00,77397,14.13,35.15,12.00
19-March-2020,410.20,451.35,381.05,444.90,431.479784024325433397,1189208,33106,513119211.00,542116,45.59,70.30,34.70
18-March-2020,460.00,478.40,409.30,426.20,452.723899207475478494,1518565,20811,687490668.00,722904,47.60,69.10,-33.80
17-March-2020,464.65,480.70,444.40,454.10,468.824537855218153839,595268,18973,279076245.00,211652,35.56,36.30,-10.55
16-March-2020,480.70,492.60,456.60,464.65,471.557198832784320803,531864,14823,250804298.00,134905,25.36,36.00,-16.05
13-March-2020,432.00,511.40,419.00,494.20,476.328747900299435558,575082,11159,273928089.00,99643,17.33,92.40,62.20
12-March-2020,483.00,483.00,459.45,464.95,470.264640577603290995,452629,9370,212855414.00,86600,19.13,23.55,-18.05
11-March-2020,494.45,508.50,488.15,493.70,500.812731686205144609,478287,13474,239532219.00,149522,31.26,20.35,-0.75
9-March-2020,514.90,514.90,491.20,496.25,500.362269486721686039,320372,9090,160302061.00,70069,21.87,23.70,-18.65
6-March-2020,525.00,525.00,511.80,519.15,518.114629757785467128,216750,3311,112301346.00,47304,21.82,13.20,-5.85
5-March-2020,521.00,531.00,516.75,527.20,525.017245744567899650,857081,5514,449982306.00,567398,66.20,14.25,6.20
4-March-2020,523.85,532.70,507.75,516.70,520.168392384251415088,318708,4599,165781828.00,27458,8.62,24.95,-7.15
3-March-2020,524.90,533.00,514.50,521.20,523.169247117702846304,262551,3780,137358609.00,34285,13.06,18.50,-3.70
2-March-2020,534.15,535.95,512.20,518.55,528.108649909731227909,314616,4837,166151431.00,42314,13.45,23.75,-15.60
28-February-2020,528.00,528.00,513.50,524.05,521.468517877781785790,271678,5541,141671524.00,37260,13.71,14.50,-3.95
27-February-2020,535.00,536.00,526.85,531.80,530.540992974768225682,1097188,14738,582103211.00,108983,9.93,9.15,-3.20
26-February-2020,535.00,539.50,520.45,536.45,528.776810729917972837,533238,5420,281963889.00,288818,54.16,19.05,1.45
25-February-2020,531.00,537.55,530.85,535.35,533.970231092436974789,142800,4199,76250949.00,23160,16.22,6.70,4.35
24-February-2020,543.90,543.90,527.05,529.80,534.330039867353300189,190883,3345,101994521.00,31187,16.34,16.85,-14.10
20-February-2020,542.00,552.00,538.50,545.50,545.639543565150657531,287971,5087,157128365.00,32247,11.20,13.50,3.50
19-February-2020,549.90,553.35,539.20,543.35,546.548428829781027909,291407,4792,159268038.00,44237,15.18,14.15,-6.55
18-February-2020,564.00,568.60,537.65,547.75,557.002997231291606302,1172749,8686,653224708.00,604039,51.51,30.95,-16.25
17-February-2020,564.25,568.60,556.70,565.00,563.477675947924966380,554738,8231,312582479.00,74794,13.48,11.90,0.75
14-February-2020,543.60,567.40,534.50,565.10,555.229897489835324406,1274020,17985,707373994.00,115521,9.07,32.90,21.50
13-February-2020,545.00,545.00,532.00,539.80,536.693014413017386963,94151,3150,50530184.00,30463,32.36,13.00,-5.20
12-February-2020,535.05,542.10,535.00,539.55,539.770971720684172202,67293,1877,36322808.00,10170,15.11,7.10,4.50
11-February-2020,538.60,544.85,532.85,534.45,539.169289604820952601,172580,5872,93049836.00,20497,11.88,12.00,-4.15
10-February-2020,540.00,543.75,536.45,538.50,539.086034559762472400,158971,4546,85699046.00,22052,13.87,7.30,-1.50
7-February-2020,548.20,548.60,538.25,539.60,541.833382160387906036,167257,2830,90625426.00,26225,15.68,10.35,-8.60
6-February-2020,533.60,552.85,533.60,546.75,545.883741039360380633,474157,6705,258834597.00,70025,14.77,19.25,13.15
5-February-2020,519.10,537.75,515.65,533.50,526.577009709526561343,1083266,10765,570422971.00,431286,39.81,22.10,14.40
4-February-2020,515.45,522.80,503.90,519.10,512.399917931883463274,316810,5578,162333418.00,30912,9.76,18.90,3.65
3-February-2020,495.55,513.20,495.50,510.30,504.706214086768875617,318824,6957,160912454.00,43808,13.74,17.70,14.75
1-February-2020,497.80,501.05,483.70,497.35,494.136769923430050943,226329,4290,111837481.00,15187,6.71,17.35,-0.45
31-January-2020,487.05,499.15,486.80,496.70,494.023856680468692883,300922,6629,148662647.00,42952,14.27,12.35,9.65
30-January-2020,495.00,495.00,480.10,489.55,486.953704358680952876,240325,5190,117027149.00,35314,14.69,14.90,-5.45
29-January-2020,493.00,501.45,488.50,490.05,493.836144406222846464,420065,8038,207443280.00,65940,15.70,12.95,-2.95
28-January-2020,515.30,515.30,485.95,490.90,491.350189611454612586,1960852,19435,963465002.00,1263569,64.44,29.35,-24.40
27-January-2020,522.40,524.00,511.55,514.30,518.270097571588760020,298755,11020,154835783.00,67839,22.71,12.45,-8.10
24-January-2020,520.10,527.20,514.20,524.05,520.409060974225048257,396315,18096,206245917.00,109185,27.55,13.00,3.95
23-January-2020,516.00,526.00,512.60,523.60,521.773411085846450107,588877,5286,307260361.00,321192,54.54,13.40,7.60
22-January-2020,515.00,524.00,507.15,514.35,513.401762559590119202,443446,6967,227665958.00,75172,16.95,16.85,-0.65
21-January-2020,509.10,515.00,504.40,511.35,509.607306813046598793,1504760,14648,766836691.00,1072079,71.25,10.60,2.25
20-January-2020,501.90,512.70,494.05,509.25,504.985426229234074928,956856,20996,483198335.00,343333,35.88,18.65,7.35
17-January-2020,470.10,503.60,470.10,500.00,496.418355306005264192,1297445,24181,644075513.00,207141,15.97,33.50,29.90
16-January-2020,468.55,476.75,468.55,474.05,472.989470800647490972,401550,8899,189928922.00,158993,39.59,8.20,5.50
15-January-2020,468.00,471.85,465.00,467.75,468.169298510927136014,142169,2394,66559161.00,35583,25.03,6.85,-0.25
14-January-2020,467.00,472.60,467.00,469.45,469.999458708341423781,2765607,7144,1299833793.00,2474117,89.46,5.60,2.45
13-January-2020,456.30,470.25,454.40,468.85,463.536092048727427788,276723,3905,128271098.00,68501,24.75,15.85,12.55
10-January-2020,465.85,465.90,454.20,457.20,460.939103691789600663,636656,10521,293459646.00,178189,27.99,11.70,-8.65
9-January-2020,471.00,474.05,455.30,459.85,462.669440001541633746,622716,10606,288111663.00,74929,12.03,18.75,-11.15
8-January-2020,435.40,460.40,435.40,458.95,450.514158019269133816,387978,5744,174789582.00,27077,6.98,25.00,23.55
7-January-2020,454.00,455.20,443.10,445.35,447.802214835105916300,102581,1895,45935999.00,14257,13.90,12.10,-8.65
6-January-2020,457.00,457.40,444.85,449.50,449.795384131830631763,200439,2943,90156537.00,32986,16.46,12.55,-7.50
3-January-2020,455.00,459.15,451.70,455.00,454.950434511462697089,147522,1942,67115198.00,15191,10.30,7.45,0.00
2-January-2020,454.00,459.35,453.65,455.00,455.558383436193509854,125575,1688,57206744.00,19141,15.24,5.70,1.00
1-January-2020,458.00,460.25,449.80,453.30,454.164298690230555306,178352,2266,81001111.00,18739,10.51,10.45,-4.70
31-December-2019,460.65,462.45,454.50,455.80,459.029666495051770493,174810,2535,80242976.00,23848,13.64,7.95,-4.85
30-December-2019,457.30,464.75,455.30,460.50,460.636920772190255694,293710,4879,135293670.00,39789,13.55,9.45,3.20
27-December-2019,448.90,457.00,448.75,455.30,453.274197981926675905,174622,3683,79151647.00,42277,24.21,8.25,6.40
26-December-2019,455.30,456.75,445.45,447.15,450.602215899605884871,275554,4255,124165243.00,31829,11.55,11.30,-8.15
24-December-2019,455.00,460.35,452.65,457.35,456.569827828342287534,334666,4185,152798398.00,37708,11.27,7.70,2.35
23-December-2019,446.05,459.00,446.05,454.65,452.237582949153166647,325802,4707,147339909.00,16627,5.10,12.95,8.60
20-December-2019,449.90,460.05,445.75,453.50,453.830832237068572523,537431,8044,243902758.00,40883,7.61,14.30,3.60
19-December-2019,436.90,456.40,430.55,448.50,442.828994652775978092,463044,7311,205049309.00,84024,18.15,25.85,11.60
18-December-2019,448.00,448.00,434.15,438.20,436.052817623131417566,1985663,6569,865853946.00,1606489,80.90,13.85,-9.80
17-December-2019,424.05,441.30,417.90,439.95,429.642743351512262055,515982,7254,221687922.00,69199,13.41,23.40,15.90
