Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-March-2020,13888.80,13888.80,12950.00,13087.20,13236.248802299584797189,3131,1655,41442695.00,1213,38.74,938.80,-801.60
30-March-2020,14359.80,14359.80,13115.45,13345.75,13288.341283400533041754,14633,2574,194448298.00,11586,79.18,1244.35,-1014.05
27-March-2020,15444.00,15444.00,14014.00,14324.80,14709.409255645386116531,3587,1788,52762651.00,857,23.89,1430.00,-1119.20
26-March-2020,14609.70,15235.85,14532.95,14829.80,14772.876635967038293746,4126,1709,60952889.00,585,14.18,702.90,220.10
25-March-2020,13999.95,14776.20,13879.90,14508.40,14401.203266787658802177,1653,851,23805189.00,294,17.79,896.30,508.45
24-March-2020,13850.00,14549.95,13850.00,14261.20,14196.653431825176977531,3249,1782,46124927.00,671,20.65,699.95,411.20
23-March-2020,14999.90,15300.00,13312.50,13802.65,14222.717644320297951582,4296,2198,61100795.00,1771,41.22,1987.50,-1197.25
20-March-2020,15648.00,15960.80,14474.85,15661.30,15146.650304506699147381,8210,3971,124353999.00,1318,16.05,1485.95,13.30
19-March-2020,15380.00,16063.00,14885.35,15045.35,15434.139751008241276521,5703,2896,88020899.00,1747,30.63,1177.65,-334.65
18-March-2020,17300.00,17417.85,15833.00,15958.60,16540.461675579322638146,3927,2087,64954393.00,1326,33.77,1584.85,-1341.40
17-March-2020,16855.80,17449.95,16567.30,17085.75,17139.260285132382892057,4910,2027,84153768.00,1710,34.83,882.65,229.95
16-March-2020,16700.00,17345.35,16358.40,16479.55,16893.463498425422273117,3493,1685,59008868.00,947,27.11,986.95,-220.45
13-March-2020,16548.80,18502.45,15650.00,17435.30,17119.653324683749594550,15415,4719,263899456.00,3715,24.10,2852.45,886.50
12-March-2020,17000.00,17272.50,16701.10,16887.75,16841.865886660299267749,12564,1516,211601203.00,9838,78.30,571.40,-112.25
11-March-2020,17999.00,18257.50,17547.80,17731.00,17861.748745119910764082,3586,1791,64052231.00,1081,30.14,709.70,-268.00
9-March-2020,17399.80,17991.40,17100.00,17882.15,17562.663736263736263736,3640,1692,63928096.00,694,19.07,891.40,482.35
