Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-March-2020,1600.00,1633.45,1564.00,1594.20,1601.728367968470082407,22328,2989,35763391.00,4934,22.10,69.45,-5.80
30-March-2020,1655.00,1655.00,1541.45,1551.80,1584.978393443527691161,36239,4023,57438032.00,10197,28.14,113.55,-103.20
27-March-2020,1810.00,1836.45,1655.00,1660.15,1715.284040118574039657,65107,5216,111676998.00,22738,34.92,181.45,-149.85
26-March-2020,1690.00,1836.00,1646.15,1805.30,1759.625908595980106530,33981,3145,59793848.00,6103,17.96,189.85,115.30
25-March-2020,1618.00,1682.95,1526.85,1670.15,1609.963191234377675055,29205,4213,47018975.00,5885,20.15,156.10,52.15
24-March-2020,1660.00,1751.40,1475.00,1626.85,1630.531895249286553634,47656,4699,77704628.00,7434,15.60,276.40,-33.15
23-March-2020,1650.00,1790.00,1544.90,1616.35,1592.305386522425061978,31059,3995,49455413.00,11441,36.84,245.10,-33.65
20-March-2020,1706.00,1839.00,1680.00,1817.50,1750.659613106987761547,37995,6564,66516312.00,7704,20.28,159.00,111.50
19-March-2020,1670.00,1789.00,1564.15,1706.35,1678.253012981980236388,51610,7009,86614638.00,7512,14.56,224.85,36.35
18-March-2020,1839.15,1855.15,1665.25,1681.25,1739.904140194093416183,28646,4197,49841294.00,9803,34.22,189.90,-157.90
17-March-2020,1783.00,1901.90,1758.05,1839.15,1843.321099679541237982,29645,3333,54645254.00,7184,24.23,143.85,56.15
16-March-2020,1890.00,1890.00,1775.05,1784.05,1807.572531323728153560,43657,4777,78913194.00,28479,65.23,114.95,-105.95
13-March-2020,1840.00,1936.80,1650.00,1888.60,1822.664942172862193636,100126,6370,182496150.00,31560,31.52,286.80,48.60
12-March-2020,1991.00,1991.00,1803.20,1904.50,1875.080319767441860465,68800,6821,129005526.00,13069,19.00,187.80,-86.50
11-March-2020,1974.00,2048.00,1951.75,2037.15,2021.422312466983623877,30288,3151,61224839.00,6735,22.24,96.25,63.15
9-March-2020,2015.00,2015.00,1917.95,1957.25,1957.012639614554328442,31963,3289,62551995.00,10253,32.08,97.05,-57.75
6-March-2020,1999.00,2052.00,1974.00,2037.55,2011.256533468217838475,23724,3269,47715050.00,6917,29.16,78.00,38.55
5-March-2020,2061.00,2092.95,2054.65,2064.15,2075.195324644266411574,16726,1464,34709717.00,4357,26.05,38.30,3.15
4-March-2020,2062.05,2072.00,2000.10,2047.05,2031.709520779612203208,29861,2436,60668878.00,6695,22.42,71.90,-15.00
3-March-2020,1976.00,2062.95,1976.00,2054.80,2028.518259693417493237,31052,2861,62989549.00,5171,16.65,86.95,78.80
2-March-2020,2075.00,2108.30,1960.00,1974.00,2031.276818617067579723,34463,3787,70003893.00,11025,31.99,148.30,-101.00
28-February-2020,2101.00,2109.75,2038.00,2048.10,2079.889286546377074218,154516,3626,321376173.00,122221,79.10,71.75,-52.90
27-February-2020,2142.00,2158.20,2102.00,2111.20,2117.587477690415320052,20731,2425,43899706.00,7174,34.61,56.20,-30.80
26-February-2020,2180.00,2194.50,2133.90,2141.15,2154.812777284826974267,47334,3955,101995908.00,16589,35.05,60.60,-38.85
25-February-2020,2186.00,2212.50,2165.00,2184.65,2190.735885673959068454,22672,1925,49668364.00,4717,20.81,47.50,-1.35
24-February-2020,2235.00,2235.00,2175.65,2183.85,2198.001622185315360549,25891,2845,56908460.00,9785,37.79,59.35,-51.15
20-February-2020,2265.00,2275.50,2236.00,2240.10,2254.966959380889370062,24939,2649,56236621.00,8264,33.14,39.50,-24.90
19-February-2020,2265.00,2279.85,2227.80,2251.95,2250.434852074265880667,18151,1889,40847643.00,3521,19.40,52.05,-13.05
18-February-2020,2267.00,2280.20,2225.00,2253.40,2245.960236298649722001,20144,2254,45242623.00,7290,36.19,55.20,-13.60
17-February-2020,2340.00,2340.00,2269.65,2284.35,2291.666063801131334898,25987,2521,59553526.00,8455,32.54,70.35,-55.65
14-February-2020,2412.15,2437.35,2352.10,2356.75,2392.153967483620480465,57694,6122,138012931.00,30394,52.68,85.25,-55.40
13-February-2020,2424.00,2440.80,2402.00,2409.00,2418.760111407120368127,16516,1742,39948242.00,7562,45.79,38.80,-15.00
