Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-March-2020,25699.90,26300.00,24726.65,25950.80,25653.199052132701421800,211,161,5412825.00,115,54.50,1573.35,250.90
30-March-2020,24001.00,24398.75,23005.05,23986.95,23953.675675675675675675,185,111,4431430.00,120,64.86,1393.70,-14.05
27-March-2020,26525.15,27976.10,24600.00,24831.60,25617.532110091743119266,327,238,8376933.00,187,57.19,3376.10,-1693.55
26-March-2020,24499.60,27595.05,24499.60,25693.70,26256.567362428842504743,527,362,13837211.00,213,40.42,3095.45,1194.10
25-March-2020,21840.00,24900.00,21670.00,24188.35,23416.953020134228187919,298,224,6978252.00,173,58.05,3230.00,2348.35
24-March-2020,20200.25,22848.00,20200.25,21845.35,21411.304201680672268907,595,298,12739726.00,391,65.71,2647.75,1645.10
23-March-2020,24640.00,24640.00,20142.00,20190.20,20774.024950099800399201,1002,541,20815573.00,814,81.24,4498.00,-4449.80
20-March-2020,24998.70,27000.00,24000.10,25177.45,25326.464864864864864864,555,305,14056188.00,267,48.11,2999.90,178.75
19-March-2020,26049.80,27224.60,22256.00,24731.70,24411.256880733944954128,654,391,15964962.00,336,51.38,4968.60,-1318.10
18-March-2020,29087.00,30135.00,26700.00,26893.90,27398.961538461538461538,650,297,17809325.00,390,60.00,3435.00,-2193.10
17-March-2020,30000.00,30570.00,29000.00,29046.75,29700.823529411764705882,255,162,7573710.00,134,52.55,1570.00,-953.25
16-March-2020,30551.00,30696.00,29500.00,29851.20,30143.901265822784810126,395,270,11906841.00,225,56.96,1196.00,-699.80
13-March-2020,30006.00,33333.00,27900.00,31629.55,31042.915470494417862838,627,324,19463908.00,436,69.54,5433.00,1623.55
12-March-2020,32999.90,32999.90,30100.00,31021.65,31013.427184466019417475,412,274,12777532.00,238,57.77,2899.90,-1978.25
11-March-2020,34799.00,34800.00,33500.00,33737.45,34099.997448979591836734,392,179,13367199.00,301,76.79,1300.00,-1061.55
9-March-2020,34735.00,34735.00,33600.00,33970.35,34014.386617100371747211,269,158,9149870.00,105,39.03,1135.00,-764.65
6-March-2020,33299.00,34989.00,32551.00,34739.15,34166.891525423728813559,295,145,10079233.00,156,52.88,2438.00,1440.15
5-March-2020,32551.00,35505.00,32551.00,34106.25,34386.850574712643678160,1044,452,35899872.00,574,54.98,2954.00,1555.25
4-March-2020,33200.00,33220.00,32311.00,32547.65,32828.527272727272727272,220,119,7222276.00,149,67.73,909.00,-652.35
3-March-2020,32888.00,33400.00,32340.00,32967.65,32936.457249070631970260,269,133,8859907.00,173,64.31,1060.00,79.65
2-March-2020,34755.00,34755.00,32021.00,32195.70,32889.496124031007751937,258,114,8485490.00,173,67.05,2734.00,-2559.30
28-February-2020,31500.00,33299.00,30988.00,33037.45,32286.305447470817120622,514,198,16595161.00,164,31.91,2311.00,1537.45
27-February-2020,33994.90,33994.90,32661.00,33317.65,33131.947761194029850746,268,156,8879362.00,178,66.42,1333.90,-677.25
26-February-2020,34165.00,34340.00,33650.15,33846.75,33977.225563909774436090,133,49,4518971.00,113,84.96,689.85,-318.25
25-February-2020,34076.00,34699.00,34050.00,34247.25,34258.730158730158730158,126,63,4316600.00,77,61.11,649.00,171.25
24-February-2020,33700.05,35249.95,33700.05,34178.45,34781.942857142857142857,175,96,6086840.00,129,73.71,1549.90,478.40
20-February-2020,35299.90,35300.00,34850.00,34909.30,35008.358695652173913043,92,40,3220769.00,78,84.78,450.00,-390.60
19-February-2020,35551.00,36350.00,34759.00,34895.85,35307.127450980392156862,102,72,3601327.00,57,55.88,1591.00,-655.15
18-February-2020,36000.00,36550.00,35200.05,35551.80,35584.751879699248120300,133,92,4732772.00,86,64.66,1349.95,-448.20
17-February-2020,36752.00,37299.95,36000.00,36098.00,36325.273809523809523809,84,57,3051323.00,51,60.71,1299.95,-654.00
14-February-2020,36932.90,37798.85,36200.00,36711.55,36876.037755637126376507,1907,411,70322604.00,100,5.24,1598.85,-221.35
13-February-2020,37001.00,37900.00,36600.00,36802.30,37138.695852534562211981,217,167,8059097.00,99,45.62,1300.00,-198.70
12-February-2020,37605.00,39499.50,36660.00,36865.55,37947.116738197424892703,1165,708,44208391.00,535,45.92,2839.50,-739.45
11-February-2020,34581.00,38850.00,33821.10,37890.00,35588.181012658227848101,2370,679,84343989.00,429,18.10,5028.90,3309.00
10-February-2020,34350.00,34404.40,33690.35,34139.20,34025.688644688644688644,273,149,9289013.00,162,59.34,714.05,-210.80
7-February-2020,34500.00,34715.35,33712.60,34339.80,34235.156387665198237885,908,161,31085522.00,62,6.83,1002.75,-160.20
6-February-2020,34780.00,35180.25,34195.50,34534.05,34680.842046718576195773,899,281,31178077.00,132,14.68,984.75,-245.95
5-February-2020,32754.20,35320.00,32222.00,34038.75,34141.647577092511013215,3405,1288,116252310.00,425,12.48,3098.00,1284.55
4-February-2020,29100.00,33342.30,29100.00,32755.60,31795.968521641371557054,1779,900,56565028.00,803,45.14,4242.30,3655.60
3-February-2020,28199.00,28199.00,27724.35,27785.25,28011.356164383561643835,73,41,2044829.00,48,65.75,474.65,-413.75
1-February-2020,27944.95,28006.05,27717.35,27975.75,27895.478260869565217391,23,13,641596.00,10,43.48,288.70,30.80
31-January-2020,27675.00,28016.45,27675.00,27974.30,27874.375000000000000000,8,6,222995.00,6,75.00,341.45,299.30
30-January-2020,27901.15,28154.65,27846.90,27909.70,27926.361111111111111111,36,19,1005349.00,22,61.11,307.75,8.55
29-January-2020,27825.00,28000.00,27790.00,27965.00,27873.391304347826086956,23,16,641088.00,12,52.17,210.00,140.00
28-January-2020,27447.60,27850.00,27447.60,27770.20,27611.333333333333333333,30,22,828340.00,15,50.00,402.40,322.60
27-January-2020,27416.60,27632.00,27070.10,27497.05,27440.719298245614035087,57,38,1564121.00,29,50.88,561.90,80.45
24-January-2020,26887.80,27119.40,26855.35,26954.00,26948.375000000000000000,24,15,646761.00,18,75.00,264.05,66.20
23-January-2020,26896.00,26900.00,26851.10,26859.05,26878.400000000000000000,10,10,268784.00,6,60.00,48.90,-36.95
22-January-2020,27300.00,27367.00,26896.00,26987.65,27155.900000000000000000,60,51,1629354.00,42,70.00,471.00,-312.35
21-January-2020,27274.00,27425.00,27190.10,27227.75,27338.900000000000000000,30,24,820167.00,26,86.67,234.90,-46.25
20-January-2020,28069.90,28069.90,27361.80,27420.60,27591.230769230769230769,78,32,2152116.00,62,79.49,708.10,-649.30
17-January-2020,27850.00,27993.70,27850.00,27951.95,27919.619047619047619047,21,13,586312.00,15,71.43,143.70,101.95
16-January-2020,27368.60,28022.35,27300.00,27859.15,27818.076271186440677966,118,68,3282533.00,85,72.03,722.35,490.55
15-January-2020,27013.00,27600.00,27013.00,27292.05,27274.117021276595744680,94,46,2563767.00,66,70.21,587.00,279.05
14-January-2020,26900.00,27149.00,26771.00,26810.40,26933.288659793814432989,97,43,2612529.00,66,68.04,378.00,-89.60
13-January-2020,27305.00,27425.00,26850.00,27028.05,27027.403669724770642201,109,70,2945987.00,49,44.95,575.00,-276.95
10-January-2020,26975.80,27400.00,26975.80,27309.70,27211.600000000000000000,45,28,1224522.00,24,53.33,424.20,333.90
9-January-2020,27030.00,27199.90,26988.50,27083.10,27081.880733944954128440,109,44,2951925.00,91,83.49,211.40,53.10
8-January-2020,26693.70,26809.80,26500.00,26600.30,26599.631980906921241050,2095,61,55726229.00,2045,97.61,309.80,-93.40
7-January-2020,26989.00,27040.10,26700.00,26800.20,26801.848739495798319327,4165,84,111629700.00,4129,99.14,340.10,-188.80
6-January-2020,27000.00,27000.00,26492.35,26547.25,26744.744019138755980861,2090,51,55896515.00,2061,98.61,507.65,-452.75
3-January-2020,27095.00,27205.20,27070.00,27180.10,27096.538461538461538461,13,9,352255.00,11,84.62,135.20,85.10
2-January-2020,27299.95,27470.00,27070.00,27070.00,27152.708283313325330132,833,21,22618206.00,826,99.16,400.00,-229.95
1-January-2020,27443.90,27443.90,27055.10,27075.70,27197.454722492697176241,2054,33,55863572.00,2043,99.46,388.80,-368.20
31-December-2019,27009.30,27500.00,26969.00,27500.00,27259.426470588235294117,68,24,1853641.00,60,88.24,531.00,490.70
30-December-2019,27100.00,27239.50,27100.00,27171.10,27168.777777777777777777,18,9,489038.00,17,94.44,139.50,71.10
27-December-2019,26634.90,27108.80,26406.10,27022.60,26643.601694915254237288,118,73,3143945.00,78,66.10,702.70,387.70
26-December-2019,26629.25,26762.85,26500.00,26528.85,26590.807692307692307692,26,19,691361.00,18,69.23,262.85,-100.40
24-December-2019,26840.00,26922.25,26688.40,26806.25,26796.410256410256410256,39,16,1045060.00,26,66.67,233.85,-33.75
