Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-March-2020,645.50,661.95,634.75,640.30,653.522077182222909911,1706196,18825,1115036754.00,1414565,82.91,27.20,-5.20
30-March-2020,634.00,664.00,621.95,627.20,636.117385398289292616,1128539,16356,717883278.00,865385,76.68,42.05,-6.80
27-March-2020,655.00,675.00,642.80,653.55,653.005795045042024470,745637,11955,486905282.00,451972,60.62,32.20,-1.45
26-March-2020,615.95,650.50,614.00,646.30,639.320717744644980354,497057,14118,317778838.00,162559,32.70,36.50,30.35
25-March-2020,593.00,634.80,566.00,605.95,597.892735159412795333,553061,27351,330671154.00,177909,32.17,68.80,12.95
24-March-2020,535.00,605.70,525.55,593.55,573.447235590099315073,629411,16816,360933998.00,215050,34.17,80.15,58.55
23-March-2020,548.00,560.00,514.80,526.70,531.167551751944149876,724224,20057,384684289.00,396818,54.79,45.20,-21.30
20-March-2020,554.00,617.00,549.65,584.95,587.031000401221643167,1824428,28625,1070995794.00,1145816,62.80,67.35,30.95
19-March-2020,530.00,557.70,511.10,545.40,544.828199676207395741,2113081,29333,1151266117.00,471469,22.31,46.60,15.40
18-March-2020,565.20,578.00,528.15,535.05,556.975990130612026757,673598,19828,375177913.00,376995,55.97,49.85,-30.15
17-March-2020,585.20,592.05,550.10,555.60,574.880558893454606696,967841,24139,556392975.00,533840,55.16,41.95,-29.60
16-March-2020,640.00,640.00,580.00,582.85,597.972624210261932711,927681,37420,554727842.00,505987,54.54,60.00,-57.15
13-March-2020,586.00,667.60,568.80,642.20,623.091127558430561287,932945,28933,581309752.00,323102,34.63,98.80,56.20
12-March-2020,670.00,670.00,627.70,631.55,646.749455855576146260,1236804,26312,799902314.00,883739,71.45,42.30,-38.45
11-March-2020,693.00,696.25,669.60,685.15,685.872551045589424328,498427,16845,341857398.00,210749,42.28,26.65,-7.85
9-March-2020,725.00,725.00,697.40,703.90,704.482975040108343372,835861,16113,588849844.00,612890,73.32,27.60,-21.10
6-March-2020,744.00,744.00,729.45,739.25,733.164906851568303170,2788077,12943,2044120214.00,2425776,87.01,14.55,-4.75
5-March-2020,762.00,773.35,752.00,754.65,765.682320553714573834,370877,8940,283973962.00,186921,50.40,21.35,-7.35
4-March-2020,754.70,761.30,745.60,758.60,751.755173741457310616,623340,8536,468599070.00,469647,75.34,15.70,3.90
3-March-2020,755.80,758.15,741.65,746.30,748.770879770363926731,525353,13138,393369028.00,319188,60.76,16.50,-9.50
2-March-2020,733.00,765.85,733.00,744.35,750.820235227379439739,521793,15489,391772743.00,294352,56.41,32.85,11.35
28-February-2020,755.00,756.00,723.30,731.35,738.802596323288249976,719556,17316,531609841.00,403500,56.08,32.70,-23.65
27-February-2020,780.00,780.55,772.40,777.60,776.847012327773749093,137900,7840,107127203.00,63430,46.00,8.15,-2.40
26-February-2020,798.00,801.50,780.80,782.70,792.234248251914118461,210802,7827,167004564.00,115746,54.91,20.70,-15.30
25-February-2020,800.00,805.50,795.40,798.35,800.168472069812405288,382740,4004,306256481.00,311366,81.35,10.10,-1.65
24-February-2020,798.00,811.20,792.30,795.25,804.723414487140851121,311918,5317,251007718.00,212444,68.11,18.90,-2.75
20-February-2020,800.45,805.90,794.05,796.70,801.162881652685359293,432363,4380,346393187.00,369589,85.48,11.85,-3.75
19-February-2020,800.00,804.70,796.00,800.70,799.958149385514855029,100572,3448,80453391.00,34606,34.41,8.70,0.70
18-February-2020,787.00,798.90,783.30,797.45,794.190526266809362058,107455,4062,85339743.00,48270,44.92,15.60,10.45
17-February-2020,787.00,793.40,783.40,789.40,789.418274694116219287,90639,3348,71552083.00,30048,33.15,10.00,2.40
14-February-2020,794.90,799.00,785.00,786.20,789.395542995674970054,418263,5385,330174948.00,325942,77.93,14.00,-8.70
13-February-2020,787.00,794.30,782.40,792.35,787.300122640302763544,132909,4542,104639272.00,51984,39.11,11.90,5.35
12-February-2020,775.00,783.00,775.00,781.05,780.410800043070959405,92870,2635,72476751.00,35654,38.39,8.00,6.05
11-February-2020,776.20,779.25,769.75,773.80,773.493193169002738843,99312,3132,76817156.00,35712,35.96,9.50,-2.40
10-February-2020,776.00,778.05,769.80,773.25,772.476183562764792059,75767,2419,58528203.00,31551,41.64,8.25,-2.75
7-February-2020,772.00,778.85,771.05,777.20,775.391620491688503930,99982,2608,77525205.00,35436,35.44,7.80,5.20
6-February-2020,784.50,786.55,770.00,770.95,775.361353164823355094,936087,8842,725805683.00,771921,82.46,16.55,-13.55
5-February-2020,787.00,787.00,774.25,784.50,780.915050003277501802,350877,7074,274005130.00,247131,70.43,12.75,-2.50
4-February-2020,769.50,789.35,769.50,787.85,781.420545457984226353,105746,6101,82632097.00,53730,50.81,19.85,18.35
3-February-2020,780.55,790.00,764.50,767.20,772.591845479139011644,119026,5569,91958517.00,40899,34.36,25.50,-13.35
1-February-2020,775.95,791.00,769.80,780.25,780.086920393466185563,133582,5236,104205571.00,47482,35.55,21.20,4.30
31-January-2020,781.75,784.25,771.75,776.35,777.255324257146085188,70808,3010,55035895.00,17576,24.82,12.50,-5.40
30-January-2020,792.00,792.00,778.05,780.20,781.018715782693784526,80734,4110,63054765.00,33220,41.15,13.95,-11.80
29-January-2020,783.00,792.55,783.00,789.45,788.059057438764373506,434306,5257,342258777.00,294574,67.83,9.55,6.45
28-January-2020,779.80,780.80,772.10,777.90,776.738893346682174879,543368,5104,422055059.00,474925,87.40,8.70,-1.90
27-January-2020,779.70,784.50,774.80,777.90,778.474980554835364272,111853,4070,87074762.00,41244,36.87,9.70,-1.80
24-January-2020,776.00,786.20,773.80,782.95,776.083300883840152395,713930,7598,554069151.00,447248,62.65,12.40,6.95
23-January-2020,774.00,785.20,774.00,784.55,781.380980773774032782,266667,10016,208368522.00,121150,45.43,11.20,10.55
22-January-2020,765.10,778.00,765.10,769.95,771.759061980432569882,276071,5745,213060296.00,79077,28.64,12.90,4.85
21-January-2020,768.35,770.70,760.55,761.90,764.318851371038233675,61778,2473,47218090.00,22936,37.13,10.15,-6.45
20-January-2020,770.00,774.45,763.35,768.35,767.678071289155028329,105542,5246,81022279.00,37519,35.55,11.10,-1.65
17-January-2020,771.00,772.00,762.70,767.85,766.125457077196517722,88333,3248,67674160.00,21420,24.25,9.30,-3.15
16-January-2020,772.00,772.20,760.40,766.85,766.327439095768895594,153766,4457,117835105.00,32128,20.89,11.80,-5.15
15-January-2020,775.00,775.00,762.80,767.70,766.857791372059084863,185699,5545,142404725.00,63308,34.09,12.20,-7.30
14-January-2020,770.60,776.80,767.30,775.35,772.324070869523519625,239821,9880,185219531.00,65118,27.15,9.50,4.75
13-January-2020,763.00,777.55,755.55,773.40,768.715250566701487668,968764,21541,744703661.00,292722,30.22,22.00,10.40
10-January-2020,732.00,742.80,730.80,738.25,737.074390755776944480,359749,7369,265161775.00,98494,27.38,12.00,6.25
9-January-2020,722.90,731.25,714.50,727.55,725.313678614729381042,321670,5876,233311651.00,179543,55.82,16.75,4.65
8-January-2020,725.00,728.70,708.40,718.15,717.992157030356780322,280761,9650,201584196.00,95228,33.92,20.30,-6.85
7-January-2020,739.05,742.35,725.15,727.75,734.350924615529766959,211980,12315,155667709.00,92798,43.78,17.20,-11.30
6-January-2020,745.10,753.95,736.70,738.65,743.778782229046223907,191481,5635,142419505.00,62870,32.83,17.25,-6.45
3-January-2020,734.50,747.75,734.25,746.10,744.714589689920058871,288087,6624,214542592.00,89792,31.17,13.50,11.60
2-January-2020,738.05,740.20,731.35,734.70,736.199383812886546835,131129,5418,96537089.00,44029,33.58,8.85,-3.35
1-January-2020,733.60,739.90,732.65,736.90,735.450383628744878179,86151,2596,63359786.00,31217,36.24,7.25,3.30
31-December-2019,732.10,737.50,725.50,731.75,733.016529865525720313,254993,17997,186914084.00,106487,41.76,12.00,-0.35
30-December-2019,736.00,737.70,727.45,732.80,732.438714435650866592,669807,6845,490592578.00,534714,79.83,10.25,-3.20
27-December-2019,729.25,737.65,728.75,736.80,734.001992239751823848,105409,3649,77370416.00,39812,37.77,8.90,7.55
26-December-2019,734.00,734.70,727.00,729.25,730.994934245359969090,139762,3969,102165314.00,67784,48.50,7.70,-4.75
24-December-2019,736.15,736.80,728.50,733.25,732.596976246545587492,92997,3940,68129321.00,26728,28.74,8.30,-2.90
23-December-2019,732.00,737.25,731.40,735.85,734.776340390172045853,105902,4949,77814284.00,40741,38.47,5.85,3.85
