Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-March-2020,4500.00,4500.00,4214.10,4287.75,4296.650846793290980059,61231,11728,263088228.00,11975,19.56,285.90,-212.25
30-March-2020,4645.75,4645.75,4271.00,4341.20,4386.817432182490752157,77856,12211,341540058.00,41683,53.54,374.75,-304.55
27-March-2020,5030.00,5131.20,4554.45,4645.75,4766.838243709573933098,57667,11590,274889261.00,16757,29.06,576.75,-384.25
26-March-2020,5051.00,5119.95,4751.00,4880.50,4924.216435766401796000,67706,11055,333398998.00,9197,13.58,368.95,-170.50
25-March-2020,4305.00,5158.40,4305.00,5034.20,4774.355620944224049601,76126,10955,363452596.00,8326,10.94,853.40,729.20
24-March-2020,4398.00,4574.35,4038.90,4485.60,4367.539566383346211535,66003,10241,288270714.00,10635,16.11,535.45,87.60
23-March-2020,4698.00,4698.00,4148.00,4212.85,4370.538776290022130586,62809,11483,274509170.00,32209,51.28,550.00,-485.15
20-March-2020,4929.00,5222.00,4815.35,5077.10,5049.590725570772149736,111209,17193,561559935.00,30696,27.60,406.65,148.10
19-March-2020,4899.75,5090.00,4653.15,4826.05,4867.752288632494798562,105740,23176,514716127.00,23675,22.39,436.85,-73.70
18-March-2020,5666.00,5687.75,5316.20,5353.30,5415.563982474694062547,52952,10574,286764944.00,24892,47.01,371.55,-312.70
17-March-2020,5549.00,5746.45,5500.00,5603.95,5644.225928905070347007,70863,10476,399966782.00,27945,39.44,246.45,54.95
16-March-2020,5690.00,5690.00,5400.00,5487.75,5541.570947224956462482,52828,10220,292750110.00,19126,36.20,290.00,-202.25
13-March-2020,5465.00,6053.70,4797.60,5840.65,5578.595551937143004833,77382,11667,431682881.00,11354,14.67,1256.10,375.65
12-March-2020,5958.00,5958.00,5555.55,5640.65,5742.953809961847601526,66313,12056,380832496.00,29397,44.33,402.45,-317.35
11-March-2020,6179.00,6311.00,6109.05,6141.40,6182.470586221065607451,29204,7213,180552871.00,8167,27.97,201.95,-37.60
9-March-2020,6345.00,6371.45,6081.75,6195.95,6225.462885271578005258,35754,5991,222585200.00,7874,22.02,289.70,-149.05
