Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-March-2020,82.05,84.80,81.20,84.20,83.218349361106528368,375806,2582,31273955.00,111909,29.78,3.60,2.15
30-March-2020,83.00,83.35,79.25,81.80,81.148008524384062381,550421,5101,44665568.00,146553,26.63,4.10,-1.20
27-March-2020,82.05,84.45,80.30,83.05,82.418082373320096251,872297,3344,71893046.00,249346,28.58,4.15,1.00
26-March-2020,81.00,83.85,76.50,80.50,79.002265363298254562,839159,3923,66295462.00,170680,20.34,7.35,-0.50
25-March-2020,77.45,80.50,75.35,79.70,77.715246662696783816,345938,1669,26884657.00,68242,19.73,5.15,2.25
24-March-2020,79.00,79.70,75.10,77.45,77.436388193437870602,789256,5997,61117134.00,279350,35.39,4.60,-1.55
23-March-2020,76.00,79.10,74.00,76.20,76.965547589473616465,621524,3990,47835935.00,221151,35.58,5.10,0.20
20-March-2020,79.00,82.20,76.30,81.50,79.574101733527045591,1618896,7243,128822195.00,439931,27.17,5.90,2.50
19-March-2020,78.95,84.90,75.45,78.25,80.685401341854063218,1305209,11544,105311312.00,276996,21.22,9.45,-0.70
18-March-2020,90.95,90.95,75.30,81.30,83.148278234400802565,1808202,8101,150348883.00,330117,18.26,15.65,-9.65
17-March-2020,90.05,95.80,86.30,88.45,91.947796611413721718,544888,2863,50101251.00,114675,21.05,9.50,-1.60
16-March-2020,98.15,98.15,88.30,90.75,92.219501093009794941,533847,6502,49231104.00,139632,26.16,9.85,-7.40
13-March-2020,91.90,100.10,81.50,98.85,93.331981738746256933,916695,4256,85556961.00,142484,15.54,18.60,6.95
12-March-2020,100.80,100.80,93.20,94.40,96.220304426367728858,1006943,10942,96888362.00,389155,38.65,7.60,-6.40
11-March-2020,104.00,104.75,101.50,103.05,102.878524210731864206,348234,3209,35825800.00,129393,37.16,3.25,-0.95
9-March-2020,105.00,105.00,99.65,102.85,101.955249204281094735,551074,4715,56184887.00,106364,19.30,5.35,-2.15
6-March-2020,107.00,107.10,103.10,105.00,105.623992691918697595,306510,2563,32374810.00,126128,41.15,4.00,-2.00
