Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-March-2020,261.25,272.35,259.95,269.75,266.675683959464272223,926590,14319,247099022.00,99709,10.76,12.40,8.50
30-March-2020,272.80,272.80,250.90,254.15,260.214865180828229526,902431,20484,234825961.00,295354,32.73,21.90,-18.65
27-March-2020,289.00,294.50,274.20,277.35,280.798935677926885701,1145330,13488,321607445.00,425172,37.12,20.30,-11.65
26-March-2020,289.00,295.55,280.10,285.75,288.807975735408632310,648517,10245,187296882.00,101590,15.66,15.45,-3.25
25-March-2020,268.00,294.40,267.00,285.65,281.776758593525732177,599172,10765,168832744.00,83210,13.89,27.40,17.65
24-March-2020,285.00,285.80,258.70,271.75,269.522748068103106712,701642,12515,189108480.00,122773,17.50,27.10,-13.25
23-March-2020,271.00,279.00,253.70,271.15,265.672347183426690805,940114,17339,249762293.00,303094,32.24,25.30,0.15
20-March-2020,277.70,305.00,274.70,298.05,287.144850988376426467,1274565,20025,365984777.00,186565,14.64,30.30,20.35
19-March-2020,271.00,284.20,260.80,271.95,274.029906658421783253,1670531,20531,457775454.00,413559,24.76,23.40,0.95
18-March-2020,290.00,293.00,275.85,280.90,281.558075480156236795,1360755,18148,383131559.00,270844,19.90,17.15,-9.10
17-March-2020,297.25,307.70,280.40,282.30,295.242963794878440350,1389030,18673,410101334.00,169262,12.19,27.30,-14.95
16-March-2020,305.00,317.65,287.00,289.60,302.392187667147905285,1131109,18592,342038525.00,268201,23.71,30.65,-15.40
13-March-2020,272.25,331.80,252.20,325.45,304.018451975961192909,2267833,29415,689463078.00,236669,10.44,79.60,53.20
12-March-2020,276.90,291.80,267.35,286.80,279.607378058280976718,1822756,23031,509656026.00,204526,11.22,24.45,9.90
11-March-2020,323.10,326.00,296.25,299.40,308.747261828268875413,1153233,17903,356057531.00,259259,22.48,29.75,-23.70
9-March-2020,338.00,338.00,319.65,322.30,327.219834351101472434,841056,13351,275210205.00,212818,25.30,18.35,-15.70
6-March-2020,360.00,360.00,347.40,351.20,352.648421091531729069,811795,10473,286278225.00,146533,18.05,12.60,-8.80
5-March-2020,384.00,388.00,374.25,375.65,380.193498837407562207,662743,7950,251970580.00,57156,8.62,13.75,-8.35
4-March-2020,389.85,389.85,365.25,377.00,373.693234030887325230,1094300,14939,408932506.00,108248,9.89,24.60,-12.85
3-March-2020,372.05,391.40,370.25,387.60,379.810449344934153680,883041,12628,335388199.00,101451,11.49,21.15,15.55
