"Date","P/E","P/B","Div Yield"
"02-Apr-2019","       30.63","        3.78","        1.09"
"03-Apr-2019","       30.46","        3.76","        1.10"
"04-Apr-2019","       30.35","        3.75","        1.10"
"05-Apr-2019","       30.54","        3.77","        1.10"
"08-Apr-2019","       30.38","        3.75","        1.10"
"09-Apr-2019","       30.55","        3.77","        1.10"
"10-Apr-2019","       30.34","        3.74","        1.11"
"11-Apr-2019","       30.38","        3.75","        1.10"
"12-Apr-2019","       30.50","        3.76","        1.10"
"15-Apr-2019","       30.64","        3.78","        1.09"
"16-Apr-2019","       30.89","        3.81","        1.09"
"18-Apr-2019","       30.79","        3.80","        1.09"
"22-Apr-2019","       30.36","        3.75","        1.10"
"23-Apr-2019","       30.36","        3.75","        1.11"
"24-Apr-2019","       30.67","        3.79","        1.09"
"25-Apr-2019","       30.46","        3.77","        1.10"
"26-Apr-2019","       30.72","        3.80","        1.09"
"30-Apr-2019","       30.68","        3.79","        1.09"
"02-May-2019","       30.62","        3.79","        1.09"
"03-May-2019","       30.58","        3.78","        1.10"
"06-May-2019","       30.27","        3.74","        1.11"
"07-May-2019","       30.04","        3.71","        1.12"
"08-May-2019","       29.67","        3.67","        1.13"
"09-May-2019","       29.53","        3.65","        1.13"
"10-May-2019","       29.40","        3.64","        1.14"
"13-May-2019","       29.01","        3.60","        1.15"
"14-May-2019","       29.32","        3.62","        1.14"
"15-May-2019","       29.15","        3.60","        1.15"
"16-May-2019","       29.35","        3.62","        1.14"
"17-May-2019","       29.74","        3.67","        1.13"
"20-May-2019","       30.80","        3.80","        1.09"
"21-May-2019","       30.39","        3.77","        1.10"
"22-May-2019","       30.43","        3.77","        1.10"
"23-May-2019","       30.28","        3.75","        1.10"
"24-May-2019","       30.75","        3.82","        1.08"
"27-May-2019","       30.97","        3.84","        1.18"
"28-May-2019","       30.99","        3.85","        1.18"
"29-May-2019","       30.71","        3.82","        1.19"
"30-May-2019","       30.90","        3.85","        1.18"
"31-May-2019","       30.78","        3.85","        1.18"
"03-Jun-2019","       31.19","        3.90","        1.16"
"04-Jun-2019","       31.02","        3.88","        1.17"
"06-Jun-2019","       30.53","        3.81","        1.19"
"07-Jun-2019","       30.60","        3.82","        1.19"
"10-Jun-2019","       30.72","        3.84","        1.18"
"11-Jun-2019","       30.84","        3.85","        1.18"
"12-Jun-2019","       30.68","        3.83","        1.18"
"13-Jun-2019","       30.69","        3.83","        1.18"
"14-Jun-2019","       30.45","        3.79","        1.20"
"17-Jun-2019","       30.06","        3.74","        1.21"
"18-Jun-2019","       30.10","        3.75","        1.21"
"19-Jun-2019","       30.08","        3.75","        1.21"
"20-Jun-2019","       30.45","        3.79","        1.20"
"21-Jun-2019","       30.20","        3.76","        1.21"
"24-Jun-2019","       30.15","        3.76","        1.21"
"25-Jun-2019","       30.38","        3.78","        1.20"
"26-Jun-2019","       30.32","        3.80","        1.19"
"27-Jun-2019","       30.33","        3.80","        1.19"
"28-Jun-2019","       30.43","        3.75","        1.20"
"01-Jul-2019","       30.62","        3.77","        1.19"
"02-Jul-2019","       30.73","        3.78","        1.19"
"03-Jul-2019","       30.77","        3.79","        1.19"
"04-Jul-2019","       30.85","        3.80","        1.18"
"05-Jul-2019","       30.48","        3.75","        1.20"
"08-Jul-2019","       29.84","        3.67","        1.22"
"09-Jul-2019","       29.85","        3.67","        1.22"
"10-Jul-2019","       29.62","        3.66","        1.23"
"11-Jul-2019","       29.83","        3.68","        1.22"
"12-Jul-2019","       29.77","        3.65","        1.25"
"15-Jul-2019","       29.77","        3.67","        1.25"
"16-Jul-2019","       29.98","        3.69","        1.24"
"17-Jul-2019","       30.04","        3.70","        1.24"
"18-Jul-2019","       29.79","        3.67","        1.25"
"19-Jul-2019","       29.33","        3.61","        1.27"
"22-Jul-2019","       29.19","        3.60","        1.27"
"23-Jul-2019","       29.13","        3.59","        1.27"
"24-Jul-2019","       28.93","        3.57","        1.28"
"25-Jul-2019","       28.85","        3.57","        1.28"
"26-Jul-2019","       29.04","        3.58","        1.28"
"29-Jul-2019","       29.11","        3.55","        1.29"
"30-Jul-2019","       28.82","        3.51","        1.30"
"31-Jul-2019","       28.83","        3.49","        1.30"
"01-Aug-2019","       28.44","        3.45","        1.32"
"02-Aug-2019","       28.49","        3.46","        1.32"
"05-Aug-2019","       28.16","        3.42","        1.33"
"06-Aug-2019","       28.39","        3.44","        1.32"
"07-Aug-2019","       28.17","        3.42","        1.33"
"08-Aug-2019","       28.69","        3.47","        1.31"
"09-Aug-2019","       28.91","        3.50","        1.30"
"13-Aug-2019","       28.48","        3.43","        1.33"
"14-Aug-2019","       28.72","        3.47","        1.31"
"16-Aug-2019","       28.82","        3.47","        1.31"
"19-Aug-2019","       28.83","        3.48","        1.31"
"20-Aug-2019","       28.72","        3.46","        1.31"
"21-Aug-2019","       28.45","        3.43","        1.33"
"22-Aug-2019","       28.00","        3.38","        1.35"
"23-Aug-2019","       28.23","        3.40","        1.34"
"26-Aug-2019","       28.81","        3.47","        1.31"
"27-Aug-2019","       28.97","        3.49","        1.30"
"28-Aug-2019","       28.82","        3.47","        1.31"
"29-Aug-2019","       28.60","        3.45","        1.32"
"30-Aug-2019","       28.82","        3.37","        1.36"
"03-Sep-2019","       28.06","        3.30","        1.39"
"04-Sep-2019","       28.13","        3.31","        1.38"
"05-Sep-2019","       28.21","        3.32","        1.38"
"06-Sep-2019","       28.45","        3.34","        1.37"
"09-Sep-2019","       28.59","        3.36","        1.36"
"11-Sep-2019","       28.69","        3.37","        1.36"
"12-Sep-2019","       28.56","        3.36","        1.36"
"13-Sep-2019","       28.76","        3.39","        1.35"
"16-Sep-2019","       28.60","        3.37","        1.36"
"17-Sep-2019","       28.11","        3.31","        1.38"
"18-Sep-2019","       28.19","        3.32","        1.38"
"19-Sep-2019","       27.85","        3.28","        1.40"
"20-Sep-2019","       29.35","        3.45","        1.32"
"23-Sep-2019","       30.15","        3.55","        1.29"
"24-Sep-2019","       30.13","        3.55","        1.29"
"25-Sep-2019","       27.36","        3.50","        1.31"
"26-Sep-2019","       27.67","        3.54","        1.29"
"27-Sep-2019","       27.70","        3.55","        1.29"
"30-Sep-2019","       27.58","        3.53","        1.29"
"01-Oct-2019","       27.30","        3.50","        1.31"
"03-Oct-2019","       27.18","        3.48","        1.31"
"04-Oct-2019","       26.84","        3.44","        1.33"
"07-Oct-2019","       26.69","        3.42","        1.34"
"09-Oct-2019","       27.18","        3.48","        1.31"
"10-Oct-2019","       27.00","        3.46","        1.32"
"11-Oct-2019","       27.16","        3.48","        1.31"
"14-Oct-2019","       27.26","        3.49","        1.31"
"15-Oct-2019","       27.47","        3.52","        1.30"
"16-Oct-2019","       27.58","        3.53","        1.29"
"17-Oct-2019","       27.89","        3.57","        1.28"
"18-Oct-2019","       28.09","        3.60","        1.27"
"22-Oct-2019","       27.91","        3.58","        1.28"
"23-Oct-2019","       27.94","        3.59","        1.27"
"24-Oct-2019","       27.88","        3.58","        1.28"
"25-Oct-2019","       27.87","        3.58","        1.28"
"27-Oct-2019","       27.99","        3.59","        1.27"
"29-Oct-2019","       28.37","        3.64","        1.26"
"30-Oct-2019","       28.51","        3.66","        1.25"
"31-Oct-2019","       28.59","        3.67","        1.25"
"01-Nov-2019","       28.68","        3.67","        1.24"
"04-Nov-2019","       28.77","        3.69","        1.24"
"05-Nov-2019","       28.69","        3.68","        1.24"
"06-Nov-2019","       28.81","        3.69","        1.24"
"07-Nov-2019","       28.91","        3.71","        1.23"
"08-Nov-2019","       28.65","        3.67","        1.24"
"11-Nov-2019","       28.67","        3.68","        1.24"
"13-Nov-2019","       28.45","        3.66","        1.25"
"14-Nov-2019","       28.50","        3.67","        1.25"
"15-Nov-2019","       28.44","        3.67","        1.24"
"18-Nov-2019","       28.41","        3.67","        1.24"
"19-Nov-2019","       28.41","        3.68","        1.24"
"20-Nov-2019","       28.35","        3.70","        1.24"
"21-Nov-2019","       28.79","        3.69","        1.24"
"22-Nov-2019","       28.67","        3.67","        1.24"
"25-Nov-2019","       29.06","        3.72","        1.23"
"26-Nov-2019","       28.96","        3.71","        1.23"
"27-Nov-2019","       29.11","        3.73","        1.22"
"28-Nov-2019","       29.26","        3.75","        1.22"
"29-Nov-2019","       29.03","        3.72","        1.23"
"02-Dec-2019","       28.98","        3.73","        1.23"
"03-Dec-2019","       28.84","        3.71","        1.24"
"04-Dec-2019","       28.94","        3.72","        1.23"
"05-Dec-2019","       28.86","        3.71","        1.23"
"06-Dec-2019","       28.62","        3.68","        1.24"
"09-Dec-2019","       28.64","        3.68","        1.24"
"10-Dec-2019","       28.43","        3.66","        1.25"
"11-Dec-2019","       28.56","        3.67","        1.25"
"12-Dec-2019","       28.72","        3.69","        1.24"
"13-Dec-2019","       28.99","        3.73","        1.23"
"16-Dec-2019","       30.50","        3.72","        1.23"
"17-Dec-2019","       30.77","        3.75","        1.22"
"18-Dec-2019","       30.91","        3.77","        1.22"
"19-Dec-2019","       31.00","        3.78","        1.21"
"20-Dec-2019","       31.05","        3.78","        1.21"
"23-Dec-2019","       31.03","        3.78","        1.21"
"24-Dec-2019","       30.92","        3.77","        1.22"
"26-Dec-2019","       30.72","        3.74","        1.22"
"27-Dec-2019","       30.87","        3.78","        1.22"
"30-Dec-2019","       30.90","        3.79","        1.22"
"31-Dec-2019","       30.68","        3.76","        1.23"
"01-Jan-2020","       30.71","        3.77","        1.22"
"02-Jan-2020","       30.97","        3.80","        1.21"
"03-Jan-2020","       30.84","        3.78","        1.22"
"06-Jan-2020","       30.25","        3.71","        1.24"
"07-Jan-2020","       30.41","        3.73","        1.24"
"08-Jan-2020","       30.35","        3.73","        1.24"
"09-Jan-2020","       30.82","        3.78","        1.22"
"10-Jan-2020","       30.92","        3.80","        1.22"
"13-Jan-2020","       31.11","        3.82","        1.21"
"14-Jan-2020","       31.11","        3.83","        1.21"
"15-Jan-2020","       31.08","        3.83","        1.21"
"16-Jan-2020","       31.08","        3.72","        1.22"
"17-Jan-2020","       31.08","        3.71","        1.22"
"20-Jan-2020","       30.44","        3.67","        1.24"
"21-Jan-2020","       30.26","        3.50","        1.23"
"22-Jan-2020","       30.15","        3.47","        1.24"
"23-Jan-2020","       30.33","        3.49","        1.23"
"24-Jan-2020","       30.58","        3.51","        1.23"
"27-Jan-2020","       30.19","        3.48","        1.24"
"28-Jan-2020","       29.14","        3.45","        1.24"
"29-Jan-2020","       29.31","        3.47","        1.24"
"30-Jan-2020","       29.01","        3.44","        1.25"
"31-Jan-2020","       28.82","        3.42","        1.26"
"01-Feb-2020","       28.06","        3.33","        1.29"
"03-Feb-2020","       28.26","        3.34","        1.28"
"04-Feb-2020","       28.98","        3.42","        1.26"
"05-Feb-2020","       29.49","        3.46","        1.24"
"06-Feb-2020","       29.67","        3.47","        1.24"
"07-Feb-2020","       29.59","        3.47","        1.24"
"10-Feb-2020","       29.46","        3.45","        1.25"
"11-Feb-2020","       29.79","        3.47","        1.24"
"12-Feb-2020","       30.22","        3.49","        1.23"
"13-Feb-2020","       30.19","        3.48","        1.23"
"14-Feb-2020","       30.04","        3.46","        1.24"
"17-Feb-2020","       30.02","        3.44","        1.25"
"18-Feb-2020","       29.89","        3.42","        1.26"
"19-Feb-2020","       30.26","        3.46","        1.24"
"20-Feb-2020","       30.17","        3.45","        1.24"
