Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-March-2020,6990.00,6990.00,6875.00,6912.50,6934.000000000000000000,5,5,34670.00,4,80.00,115.00,-77.50
30-March-2020,6960.00,7287.00,6900.00,6913.35,7067.805555555555555555,36,34,254441.00,21,58.33,387.00,-46.65
27-March-2020,7150.00,7265.00,6900.00,7199.00,7136.650000000000000000,40,16,285466.00,37,92.50,365.00,49.00
26-March-2020,6899.00,7199.00,6610.05,7000.50,6937.973684210526315789,38,33,263643.00,27,71.05,588.95,101.50
25-March-2020,6300.00,6858.90,6300.00,6402.15,6549.913043478260869565,23,18,150648.00,18,78.26,558.90,102.15
24-March-2020,6900.00,6900.00,6200.05,6292.60,6478.780000000000000000,50,30,323939.00,42,84.00,699.95,-607.40
23-March-2020,7248.00,7248.00,6200.00,6335.00,6400.391304347826086956,23,18,147209.00,19,82.61,1048.00,-913.00
20-March-2020,7214.00,7214.00,6710.00,6809.95,6850.977011494252873563,87,84,596035.00,79,90.80,504.00,-404.05
19-March-2020,7272.00,7599.00,6800.00,7200.00,7169.239130434782608695,46,28,329785.00,38,82.61,799.00,-72.00
18-March-2020,7600.00,8036.45,7600.00,7600.00,7793.636363636363636363,22,16,171460.00,20,90.91,436.45,0.00
17-March-2020,7257.00,8240.00,7256.10,7630.00,7775.954545454545454545,22,12,171071.00,17,77.27,983.90,373.00
16-March-2020,7860.00,8490.00,7610.00,7610.00,7897.884615384615384615,26,17,205345.00,25,96.15,880.00,-250.00
13-March-2020,6810.00,8490.00,6810.00,7866.55,7789.493150684931506849,73,47,568633.00,50,68.49,1680.00,1056.55
12-March-2020,8001.00,8050.00,7750.00,7799.90,7854.718750000000000000,96,42,754053.00,88,91.67,300.00,-201.10
11-March-2020,8280.35,8668.00,8250.00,8405.00,8537.393939393939393939,33,22,281734.00,30,90.91,418.00,124.65
9-March-2020,8400.00,8540.00,8050.00,8280.35,8170.086956521739130434,46,41,375824.00,33,71.74,490.00,-119.65
6-March-2020,8311.05,8745.00,8311.05,8378.40,8503.294117647058823529,17,16,144556.00,10,58.82,433.95,67.35
5-March-2020,8410.00,8988.00,8400.00,8783.15,8633.395833333333333333,48,35,414403.00,34,70.83,588.00,373.15
4-March-2020,8504.10,9530.00,8306.00,8382.60,8500.762711864406779661,59,41,501545.00,37,62.71,1224.00,-121.50
3-March-2020,8811.00,8879.95,8612.00,8761.15,8766.368421052631578947,19,16,166561.00,15,78.95,267.95,-49.85
2-March-2020,8899.00,9350.00,8546.35,8810.35,8932.387096774193548387,31,24,276904.00,19,61.29,803.65,-88.65
28-February-2020,8952.05,9140.00,8910.00,8939.85,8962.592592592592592592,54,40,483980.00,52,96.30,230.00,-12.20
27-February-2020,9200.00,9400.00,9021.65,9197.30,9183.071428571428571428,14,13,128563.00,9,64.29,378.35,-2.70
26-February-2020,9300.00,9674.00,9169.70,9189.25,9213.718750000000000000,96,38,884517.00,72,75.00,504.30,-110.75
25-February-2020,9749.00,9749.90,9200.00,9415.45,9318.384615384615384615,91,31,847973.00,82,90.11,549.90,-333.55
24-February-2020,9400.20,10090.00,9400.10,9500.00,9610.750000000000000000,28,16,269101.00,22,78.57,689.90,99.80
20-February-2020,9525.70,9995.00,9525.70,9576.65,9640.153846153846153846,13,12,125322.00,10,76.92,469.30,50.95
19-February-2020,10300.00,10300.00,9508.00,9680.90,9786.702127659574468085,47,34,459975.00,22,46.81,792.00,-619.10
18-February-2020,9754.55,10340.00,9732.30,9763.85,9810.750000000000000000,20,13,196215.00,18,90.00,607.70,9.30
17-February-2020,10110.00,10400.00,9991.00,10002.35,10095.184210526315789473,38,22,383617.00,38,100.00,409.00,-107.65
14-February-2020,10550.00,11240.00,10110.00,10120.25,10670.669491525423728813,118,64,1259139.00,65,55.08,1130.00,-429.75
13-February-2020,9890.00,10700.00,9500.00,10419.35,10223.201612903225806451,248,108,2535354.00,165,66.53,1200.00,529.35
12-February-2020,9393.30,9595.00,9321.00,9396.20,9416.727272727272727272,22,22,207168.00,15,68.18,274.00,2.90
11-February-2020,9601.30,9700.00,9510.00,9570.85,9609.500000000000000000,10,9,96095.00,10,100.00,190.00,-30.45
10-February-2020,9505.35,9735.00,9500.00,9619.40,9571.235294117647058823,17,16,162711.00,10,58.82,235.00,114.05
7-February-2020,9405.05,9798.00,9405.05,9745.00,9677.000000000000000000,21,18,203217.00,17,80.95,392.95,339.95
6-February-2020,9400.00,9663.00,9400.00,9600.00,9616.750000000000000000,16,9,153868.00,10,62.50,263.00,200.00
5-February-2020,9125.15,9680.00,9125.15,9285.10,9351.828571428571428571,35,24,327314.00,29,82.86,554.85,159.95
4-February-2020,9946.90,9946.90,9400.00,9412.00,9511.230769230769230769,13,10,123646.00,11,84.62,546.90,-534.90
3-February-2020,9000.00,9824.00,9000.00,9497.00,9231.107142857142857142,28,23,258471.00,18,64.29,824.00,497.00
1-February-2020,10000.00,10000.00,9306.00,9357.85,9584.166666666666666666,18,14,172515.00,14,77.78,694.00,-642.15
31-January-2020,10401.00,10500.05,9872.30,10049.00,10064.984615384615384615,65,24,654224.00,52,80.00,627.75,-352.00
30-January-2020,10200.00,10699.90,10001.55,10435.80,10329.263157894736842105,76,31,785024.00,73,96.05,698.35,235.80
29-January-2020,9651.00,10399.00,9651.00,10252.25,10093.473684210526315789,38,22,383552.00,31,81.58,748.00,601.25
28-January-2020,9800.00,9840.00,9550.00,9636.00,9640.428571428571428571,49,23,472381.00,26,53.06,290.00,-164.00
27-January-2020,10268.80,10268.80,9770.10,9798.40,9891.650602409638554216,83,36,821007.00,57,68.67,498.70,-470.40
24-January-2020,10897.00,10930.90,10140.10,10268.80,10321.069444444444444444,144,62,1486234.00,91,63.19,790.80,-628.20
23-January-2020,10955.00,11059.00,10340.05,10535.30,10710.987951807228915662,83,37,889012.00,72,86.75,718.95,-419.70
22-January-2020,11072.00,11449.00,10616.70,10910.75,10924.081081081081081081,111,71,1212573.00,87,78.38,832.30,-161.25
21-January-2020,11200.00,11800.00,10799.00,11064.80,11281.191780821917808219,219,115,2470581.00,145,66.21,1001.00,-135.20
20-January-2020,10999.00,12274.00,10555.00,10921.95,11502.015089163237311385,729,307,8384969.00,368,50.48,1719.00,-77.05
17-January-2020,8761.80,10328.20,8761.00,10328.20,10003.696000000000000000,500,206,5001848.00,279,55.80,1567.20,1566.40
16-January-2020,8125.00,8795.00,8101.00,8606.85,8389.687500000000000000,96,55,805410.00,72,75.00,694.00,481.85
15-January-2020,8095.00,8100.05,7900.00,8090.35,8080.695652173913043478,23,17,185856.00,19,82.61,200.05,-4.65
14-January-2020,7790.00,7988.00,7680.10,7980.35,7843.074074074074074074,81,27,635289.00,75,92.59,307.90,190.35
13-January-2020,7761.00,7790.00,7636.60,7725.00,7763.000000000000000000,15,12,116445.00,14,93.33,153.40,-36.00
10-January-2020,7600.00,7780.00,7560.00,7760.80,7668.333333333333333333,33,20,253055.00,28,84.85,220.00,160.80
9-January-2020,7600.00,7680.00,7600.00,7651.00,7626.000000000000000000,12,9,91512.00,9,75.00,80.00,51.00
8-January-2020,7660.00,7696.00,7640.00,7696.00,7680.500000000000000000,6,6,46083.00,6,100.00,56.00,36.00
7-January-2020,7600.00,7660.00,7577.00,7660.00,7603.500000000000000000,4,4,30414.00,3,75.00,83.00,60.00
6-January-2020,7555.55,7600.00,7555.55,7600.00,7574.200000000000000000,5,4,37871.00,4,80.00,44.45,44.45
3-January-2020,7706.00,7706.30,7576.25,7658.60,7675.055555555555555555,18,14,138151.00,11,61.11,130.05,-47.40
2-January-2020,7575.00,7699.00,7570.00,7570.00,7622.333333333333333333,18,9,137202.00,15,83.33,129.00,-5.00
1-January-2020,7700.00,7700.00,7600.00,7600.00,7650.000000000000000000,2,2,15300.00,2,100.00,100.00,-100.00
31-December-2019,7807.45,7807.45,7580.00,7640.00,7621.800000000000000000,25,17,190545.00,18,72.00,227.45,-167.45
30-December-2019,7788.90,7796.00,7595.00,7763.40,7760.611111111111111111,18,12,139691.00,12,66.67,201.00,-25.50
27-December-2019,7500.00,7679.80,7400.25,7676.55,7551.642857142857142857,28,19,211446.00,20,71.43,279.55,176.55
26-December-2019,7350.00,7550.00,7315.10,7544.00,7464.217391304347826086,23,17,171677.00,18,78.26,234.90,194.00
24-December-2019,7450.00,7604.00,7450.00,7450.00,7495.500000000000000000,8,7,59964.00,4,50.00,154.00,0.00
23-December-2019,7372.65,7505.40,7372.65,7505.40,7453.555555555555555555,9,7,67082.00,8,88.89,132.75,132.75
20-December-2019,7325.00,7430.00,7325.00,7372.65,7368.705882352941176470,17,13,125268.00,15,88.24,105.00,47.65
19-December-2019,7450.00,7470.00,7305.10,7375.00,7368.400000000000000000,10,10,73684.00,8,80.00,164.90,-75.00
18-December-2019,7230.05,7458.00,7230.05,7439.65,7431.578947368421052631,19,10,141200.00,16,84.21,227.95,209.60
17-December-2019,7450.00,7480.00,7320.20,7375.45,7375.333333333333333333,18,16,132756.00,16,88.89,159.80,-74.55
16-December-2019,7511.20,7685.00,7400.00,7434.75,7461.423076923076923076,26,22,193997.00,23,88.46,285.00,-76.45
13-December-2019,7551.00,7584.10,7450.05,7584.10,7546.600000000000000000,10,7,75466.00,8,80.00,134.05,33.10
12-December-2019,7634.00,7634.00,7255.00,7450.00,7482.521739130434782608,23,16,172098.00,17,73.91,379.00,-184.00
11-December-2019,7551.05,7551.05,7500.00,7500.00,7526.000000000000000000,15,9,112890.00,13,86.67,51.05,-51.05
10-December-2019,7626.00,7750.00,7535.10,7601.85,7657.944444444444444444,18,15,137843.00,14,77.78,214.90,-24.15
9-December-2019,7665.10,7665.10,7535.10,7615.00,7583.125000000000000000,8,7,60665.00,6,75.00,130.00,-50.10
6-December-2019,7665.10,7700.00,7665.10,7700.00,7678.333333333333333333,3,3,23035.00,3,100.00,34.90,34.90
5-December-2019,7702.50,7711.85,7702.50,7703.00,7706.900000000000000000,20,12,154138.00,18,90.00,9.35,0.50
4-December-2019,7702.50,7702.50,7702.50,7702.50,7702.500000000000000000,10,5,77025.00,10,100.00,0.00,0.00
3-December-2019,7801.20,7801.20,7800.00,7800.00,7800.625000000000000000,8,4,62405.00,8,100.00,1.20,-1.20
2-December-2019,7855.00,7987.00,7801.20,7801.20,7849.428571428571428571,7,6,54946.00,5,71.43,185.80,-53.80
29-November-2019,7896.90,8025.00,7738.10,7801.00,7805.285714285714285714,14,11,109274.00,13,92.86,286.90,-95.90
28-November-2019,7900.00,7948.90,7840.05,7896.95,7881.571428571428571428,7,6,55171.00,4,57.14,108.85,-3.05
27-November-2019,7905.00,7905.00,7900.00,7900.00,7901.666666666666666666,3,3,23705.00,2,66.67,5.00,-5.00
26-November-2019,7999.00,8039.90,7822.50,7958.00,7959.736842105263157894,19,17,151235.00,15,78.95,217.40,-41.00
25-November-2019,7999.00,8093.70,7872.00,7893.65,7968.470588235294117647,34,26,270928.00,23,67.65,221.70,-105.35
22-November-2019,8000.00,8095.00,7831.05,7857.95,7877.782608695652173913,23,15,181189.00,22,95.65,263.95,-142.05
21-November-2019,8170.70,8170.70,7928.20,8050.00,7978.583333333333333333,24,8,191486.00,16,66.67,242.50,-120.70
20-November-2019,8000.00,8000.00,7819.10,7932.70,7952.307692307692307692,13,9,103380.00,13,100.00,180.90,-67.30
19-November-2019,7825.70,8295.00,7825.70,8000.25,7939.583333333333333333,24,20,190550.00,18,75.00,469.30,174.55
18-November-2019,8091.00,8109.00,8091.00,8109.00,8100.000000000000000000,5,5,40500.00,5,100.00,18.00,18.00
15-November-2019,8057.20,8457.00,8056.80,8091.00,8180.288888888888888888,45,32,368113.00,18,40.00,400.20,33.80
13-November-2019,8348.00,8447.90,8136.25,8349.00,8261.666666666666666666,15,13,123925.00,12,80.00,311.65,1.00
11-November-2019,8450.00,8450.00,8118.00,8347.90,8279.444444444444444444,9,9,74515.00,6,66.67,332.00,-102.10
8-November-2019,8225.05,8394.00,8175.00,8233.35,8258.230769230769230769,13,9,107357.00,10,76.92,219.00,8.30
7-November-2019,8468.00,8468.00,8103.20,8299.90,8311.250000000000000000,4,4,33245.00,2,50.00,364.80,-168.10
6-November-2019,8200.00,8386.90,8168.05,8381.95,8228.500000000000000000,20,13,164570.00,15,75.00,218.85,181.95
5-November-2019,8199.95,8469.00,8199.95,8414.10,8367.250000000000000000,44,35,368159.00,36,81.82,269.05,214.15
4-November-2019,7700.30,8130.00,7700.30,8015.50,7924.615384615384615384,13,9,103020.00,11,84.62,429.70,315.20
1-November-2019,7900.00,7900.00,7850.00,7900.00,7891.777777777777777777,9,6,71026.00,9,100.00,50.00,0.00
