Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-March-2020,192.90,198.50,188.10,196.95,193.059091550753180682,2918556,23686,563453770.00,357768,12.26,10.40,4.05
30-March-2020,191.80,195.00,185.50,186.95,190.451311916243660066,2419781,29335,460850466.00,511882,21.15,9.50,-4.85
27-March-2020,199.00,211.65,195.00,196.05,202.279869869011262427,6482084,56387,1311195108.00,1129252,17.42,16.65,-2.95
26-March-2020,191.65,201.00,185.20,192.85,193.788181464563917066,6049159,44469,1172255522.00,1108190,18.32,15.80,1.20
25-March-2020,179.70,195.20,176.40,189.95,186.132506372440718989,3639108,36064,677356293.00,421052,11.57,18.80,10.25
24-March-2020,192.50,192.50,173.60,183.35,183.587993155088120100,4545274,37182,834457732.00,656707,14.45,18.90,-9.15
23-March-2020,200.00,200.00,180.35,181.60,187.167501049666552528,3925056,53488,734642923.00,1664214,42.40,19.65,-18.40
20-March-2020,205.45,215.60,200.10,209.65,208.641794992621082599,3928083,39954,819562288.00,465823,11.86,15.50,4.20
19-March-2020,203.80,219.45,198.20,203.85,208.234932721569191407,6592083,51923,1372701960.00,757798,11.50,21.25,0.05
18-March-2020,220.85,223.80,200.10,214.65,208.800963084965641951,5171714,40031,1079858864.00,1152610,22.29,23.70,-6.20
17-March-2020,226.05,229.80,212.25,214.90,223.003722516931660805,3410327,29016,760515616.00,532255,15.61,17.55,-11.15
16-March-2020,230.00,231.35,220.65,223.25,225.956540626645476439,3538109,35248,799458870.00,769719,21.76,10.70,-6.75
13-March-2020,200.70,248.95,184.25,242.25,226.419120911130786047,7737989,65054,1752028667.00,937825,12.12,64.70,41.55
12-March-2020,232.70,232.70,208.80,212.75,220.195618870728857564,4797165,45300,1056314716.00,1214224,25.31,23.90,-19.95
11-March-2020,253.75,258.45,243.10,245.20,251.372471507677845630,4067938,36167,1022567629.00,933098,22.94,15.35,-8.55
9-March-2020,261.95,262.55,251.20,253.70,256.417128122754364458,3099067,34569,794653860.00,592076,19.10,11.35,-8.25
6-March-2020,269.00,274.35,257.35,270.45,269.087139887957495423,3269295,31820,879725241.00,586642,17.94,17.00,1.45
5-March-2020,292.00,298.25,270.10,288.30,285.995815407185058382,5616795,44037,1606379866.00,389760,6.94,28.15,-3.70
4-March-2020,292.40,293.00,275.05,285.30,282.464513912541934312,2709893,25422,765448609.00,641539,23.67,17.95,-7.10
3-March-2020,293.60,294.30,285.30,289.85,289.553610226962938109,2193574,22505,635157271.00,316707,14.44,9.00,-3.75
2-March-2020,310.20,311.95,284.05,287.45,300.188146795199931706,3256537,30658,977573807.00,582424,17.88,27.90,-22.75
28-February-2020,313.00,314.70,301.20,302.90,308.296160318317321529,2380015,25773,733749486.00,636491,26.74,13.50,-10.10
27-February-2020,328.25,330.00,318.05,321.95,323.006420683993159790,1439722,15837,465039450.00,257133,17.86,11.95,-6.30
