Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-March-2020,343.80,354.85,328.40,352.20,342.778393236275401880,263760,5268,90411229.00,56067,21.26,26.45,8.40
30-March-2020,329.00,344.00,315.30,333.65,334.383809961050308783,270092,6420,90314392.00,76675,28.39,28.70,4.65
27-March-2020,345.00,352.00,333.05,338.15,341.025206232813932172,288024,5774,98223444.00,96748,33.59,18.95,-6.85
26-March-2020,361.00,368.40,335.00,338.55,349.906120169264886340,363454,7711,127174779.00,130515,35.91,33.40,-22.45
25-March-2020,335.00,350.50,330.00,347.05,340.193599439437504530,248322,5683,84477555.00,55641,22.41,20.50,12.05
24-March-2020,335.00,347.90,330.00,335.05,342.347683269613501190,1303885,6296,446382009.00,1081498,82.94,17.90,0.05
23-March-2020,358.00,358.00,315.20,324.00,335.352538881764164110,459277,10198,154019708.00,114060,24.83,42.80,-34.00
20-March-2020,369.80,379.10,362.80,365.80,372.005872713351000770,419227,8065,155954906.00,57026,13.60,16.30,-4.00
19-March-2020,354.45,374.30,348.10,360.20,361.903243308667326096,718803,8105,260137137.00,158129,22.00,26.20,5.75
18-March-2020,383.00,386.15,355.15,362.50,369.473949182849602161,512268,8770,189269681.00,110045,21.48,31.00,-20.50
17-March-2020,373.45,395.15,364.50,370.55,384.584539761283344882,772045,10818,296916571.00,185190,23.99,30.65,-2.90
16-March-2020,380.00,396.35,363.00,368.80,376.613858054496401087,502235,8094,189148661.00,132096,26.30,33.35,-11.20
13-March-2020,348.00,402.85,336.55,384.45,377.875236910906516641,533956,12251,201768750.00,118813,22.25,66.30,36.45
12-March-2020,371.00,372.70,346.65,354.85,356.642285420195132945,594569,8904,212048447.00,124584,20.95,26.05,-16.15
11-March-2020,396.85,396.85,380.05,386.30,384.816724843395672791,1543859,8871,594102764.00,85780,5.56,16.80,-10.55
9-March-2020,399.80,404.25,385.65,394.95,395.506745793172106613,773445,6779,305902715.00,65803,8.51,18.60,-4.85
6-March-2020,395.95,403.00,390.50,400.90,400.141848093996635717,1574184,3404,629896895.00,36651,2.33,12.50,4.95
5-March-2020,410.00,414.85,401.95,404.85,408.156034266525960893,442531,5566,180621698.00,66435,15.01,12.90,-5.15
4-March-2020,398.80,412.95,387.50,405.70,404.065589750872352511,985840,14531,398344021.00,69159,7.02,25.45,6.90
3-March-2020,373.00,396.20,373.00,393.35,381.208829241655736136,888185,6368,338583964.00,508172,57.21,23.20,20.35
2-March-2020,376.10,383.60,363.50,368.85,377.969658670738409753,467613,7006,176743526.00,79372,16.97,20.10,-7.25
28-February-2020,381.90,385.50,371.25,372.95,380.077837015056177183,260159,4151,98880670.00,53606,20.60,14.25,-8.95
27-February-2020,375.00,390.45,369.65,388.40,381.100774400247896613,361441,6246,137745445.00,45704,12.64,20.80,13.40
26-February-2020,388.00,388.00,372.60,374.60,377.471862028012356041,700548,6686,264437158.00,97420,13.91,15.40,-13.40
25-February-2020,402.00,402.90,385.15,388.60,390.835828995732293953,324296,4710,126746496.00,63054,19.44,17.75,-13.40
24-February-2020,402.55,414.50,395.75,398.05,404.534366437115802041,400347,7463,161954120.00,57671,14.41,18.75,-4.50
20-February-2020,406.00,411.30,404.00,404.90,406.917773589089699523,180380,3080,73399828.00,34676,19.22,7.30,-1.10
19-February-2020,411.00,414.15,400.80,403.25,405.741979534449146070,222618,3779,90325468.00,49682,22.32,13.35,-7.75
18-February-2020,408.40,410.75,399.10,408.70,404.683808578874922267,143119,3518,57917942.00,35719,24.96,11.65,0.30
17-February-2020,418.00,418.25,407.40,408.65,412.749104294849506417,132298,2035,54605881.00,62965,47.59,10.85,-9.35
14-February-2020,419.05,424.55,416.75,418.55,420.587171950250375803,104443,2699,43927386.00,15822,15.15,7.80,-0.50
13-February-2020,415.00,420.00,412.35,419.05,417.297226046948987473,119108,2490,49703438.00,22592,18.97,7.65,4.05
12-February-2020,419.00,421.25,413.90,414.40,416.683047296641092165,144154,3245,60066528.00,43133,29.92,7.35,-4.60
11-February-2020,423.60,424.60,416.70,418.40,420.221726770767987430,176943,3990,74355293.00,63210,35.72,7.90,-5.20
10-February-2020,430.45,432.00,418.35,420.15,423.237765005506607929,174336,2900,73785579.00,35051,20.11,13.65,-10.30
7-February-2020,432.00,441.60,423.50,430.45,433.747736361139430843,429618,5667,186345835.00,74051,17.24,18.10,-1.55
6-February-2020,428.00,438.20,424.35,430.95,430.178564823113979302,351441,5783,151182385.00,39693,11.29,13.85,2.95
5-February-2020,431.50,431.50,422.50,426.15,426.601927946099047292,186416,3573,79525425.00,28628,15.36,9.00,-5.35
4-February-2020,417.50,426.90,412.75,425.60,421.467116156105293443,368418,4038,155276072.00,42124,11.43,14.15,8.10
3-February-2020,428.90,428.90,414.10,417.50,419.995001874297138573,152057,3678,63863180.00,31139,20.48,14.80,-11.40
1-February-2020,434.00,437.35,419.55,422.60,430.379355376798393380,182246,3533,78434916.00,48843,26.80,17.80,-11.40
31-January-2020,442.50,445.05,433.00,434.00,437.616820265826888343,86372,2176,37797840.00,21429,24.81,12.05,-8.50
30-January-2020,449.55,451.20,440.55,442.00,443.792704144205812726,105183,3155,46679448.00,31171,29.64,10.65,-7.55
29-January-2020,454.90,456.75,449.45,450.05,452.981631803517535643,96090,2119,43527005.00,23423,24.38,7.30,-4.85
28-January-2020,450.70,462.50,448.45,452.65,456.891343781492163880,287770,6461,131479622.00,72045,25.04,14.05,1.95
27-January-2020,449.40,451.80,442.50,448.35,447.245429611895392461,109017,3118,48757355.00,18099,16.60,9.30,-1.05
24-January-2020,450.70,452.90,446.65,447.70,450.594344659834181214,134846,2929,60760845.00,25147,18.65,6.25,-3.00
23-January-2020,445.25,452.00,445.10,449.90,449.862674632066959146,64278,2362,28916273.00,19082,29.69,6.90,4.65
22-January-2020,448.20,454.00,445.40,446.25,448.361164686119579418,337533,4366,151336689.00,229673,68.04,8.60,-1.95
21-January-2020,449.00,451.60,446.20,447.35,448.888709340279452671,124386,2909,55835471.00,23938,19.24,5.40,-1.65
20-January-2020,452.20,456.20,446.35,449.60,450.274118138720925676,306284,4227,137911758.00,108639,35.47,9.85,-2.60
17-January-2020,448.90,456.00,446.00,454.45,450.064919458838425285,170596,3490,76779275.00,26305,15.42,10.00,5.55
16-January-2020,452.00,456.50,447.40,448.90,450.573083274975564634,267031,4884,120316981.00,44423,16.64,9.10,-3.10
15-January-2020,447.05,450.80,443.90,448.75,447.523470449064496588,87493,3889,39155171.00,25267,28.88,6.90,1.70
14-January-2020,445.90,449.60,444.55,445.80,446.866173595948741983,87479,2573,39091406.00,16225,18.55,5.05,-0.10
13-January-2020,445.65,453.55,442.75,444.80,446.676329298086689176,255003,4438,113903804.00,104176,40.85,10.80,-0.85
10-January-2020,440.00,448.70,440.00,443.35,445.483423490975309303,242723,3678,108129073.00,104477,43.04,8.70,3.35
9-January-2020,443.85,444.65,439.00,439.80,441.564274553571428571,89600,2609,39564159.00,18994,21.20,5.65,-4.05
8-January-2020,446.00,446.60,438.90,440.10,441.337861689625192777,457782,5034,202036529.00,312280,68.22,7.70,-5.90
7-January-2020,442.00,448.00,437.90,446.35,444.061390796861400443,456127,5686,202548390.00,305938,67.07,10.10,4.35
6-January-2020,444.00,444.70,435.20,439.90,441.185387158411937763,329710,4646,145463234.00,184580,55.98,9.50,-4.10
3-January-2020,436.00,450.40,433.50,444.40,444.229384407513297282,338227,6558,150250372.00,47913,14.17,16.90,8.40
2-January-2020,433.00,442.35,432.25,435.35,436.279387864961164799,195055,3065,85098476.00,83061,42.58,10.10,2.35
1-January-2020,433.00,436.30,431.50,434.20,434.817540001818264466,351984,1671,153048817.00,278546,79.14,4.80,1.20
31-December-2019,431.75,435.35,429.00,432.50,432.521607255473137331,99897,1933,43207611.00,23665,23.69,6.35,0.75
30-December-2019,430.50,433.40,426.80,429.90,430.883416302324574693,231010,3265,99538378.00,82509,35.72,6.60,-0.60
27-December-2019,422.80,426.95,421.85,425.75,424.640010946453597817,120587,2193,51206065.00,22795,18.90,5.10,2.95
26-December-2019,432.95,432.95,420.85,422.30,427.390765332376253464,231259,3186,98837961.00,61014,26.38,12.10,-10.65
24-December-2019,429.00,432.30,425.50,429.70,429.303754043618908483,153328,2917,65824286.00,14106,9.20,6.80,0.70
23-December-2019,428.00,432.00,426.90,428.25,429.314370611608665093,287406,3954,123387526.00,126150,43.89,5.10,0.25
20-December-2019,429.90,436.45,428.40,430.20,431.675925626230318580,339851,5011,146705495.00,161498,47.52,8.05,0.30
19-December-2019,441.00,441.00,427.65,433.55,432.654261193280639918,368547,4857,159453430.00,129029,35.01,13.35,-7.45
18-December-2019,432.45,441.40,427.35,439.90,435.776189578818430227,318390,3571,138746781.00,80622,25.32,14.05,7.45
17-December-2019,435.70,437.45,426.50,429.05,430.596080177658516273,864580,4789,372284759.00,637451,73.73,10.95,-6.65
16-December-2019,429.90,437.25,426.50,435.00,433.341245139237330657,510208,7195,221094170.00,204304,40.04,10.75,5.10
13-December-2019,436.30,441.90,425.80,438.65,433.919364940379552101,328914,4217,142722154.00,81481,24.77,16.10,2.35
12-December-2019,430.90,437.95,430.75,433.80,434.469668493608981865,203254,3180,88307698.00,76218,37.50,7.20,2.90
11-December-2019,434.70,434.70,425.50,429.40,428.822907536443362827,204221,4073,87574643.00,73915,36.19,9.20,-5.30
10-December-2019,429.90,435.75,425.50,427.50,430.100880412715609985,395042,7948,169907912.00,175549,44.44,10.25,-2.40
9-December-2019,434.00,434.50,423.50,427.00,430.769698270465561338,279555,6120,120423823.00,109535,39.18,11.00,-7.00
6-December-2019,439.00,443.95,427.15,428.50,434.838076140600208311,513655,5863,223356752.00,245031,47.70,16.80,-10.50
5-December-2019,441.65,441.65,433.50,436.60,436.636774523269556329,125228,2914,54679150.00,37634,30.05,8.15,-5.05
4-December-2019,437.00,444.65,431.80,443.70,440.177503915026894532,190931,3294,84043531.00,25066,13.13,12.85,6.70
3-December-2019,439.10,442.30,430.40,433.95,435.901318568411439009,262785,3748,114548328.00,144410,54.95,11.90,-5.15
2-December-2019,450.00,450.10,437.20,440.05,441.256767505839079528,197377,3507,87093937.00,67987,34.45,12.90,-9.95
29-November-2019,457.10,460.50,447.50,449.80,452.972169727951273231,147106,2932,66634924.00,29429,20.01,13.00,-7.30
