Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-March-2020,71.45,71.45,68.20,71.05,70.089501464044699463,2418642,11894,169521412.00,309845,12.81,3.25,-0.40
30-March-2020,70.65,70.65,67.40,68.15,68.618949299120487803,2142665,9691,147027421.00,350369,16.35,3.25,-2.50
27-March-2020,71.05,75.85,69.40,70.65,72.105239349437823699,2962238,14899,213592880.00,486289,16.42,6.45,-0.40
26-March-2020,71.70,73.50,68.30,70.80,70.965048114108370823,2888342,13500,204971329.00,534041,18.49,5.20,-0.90
25-March-2020,68.90,71.70,67.10,70.20,69.431612291264820212,2611383,10399,181312532.00,640782,24.54,4.60,1.30
24-March-2020,70.00,71.20,63.60,68.60,67.924751402807061559,2487156,13989,168939453.00,472378,18.99,7.60,-1.40
23-March-2020,71.00,72.10,69.70,69.70,70.273235084538848050,1526872,10619,107298235.00,708496,46.40,2.40,-1.30
20-March-2020,74.30,79.55,72.70,77.40,76.006112302591085242,4843183,19573,368111511.00,591295,12.21,6.85,3.10
19-March-2020,70.60,76.50,68.80,72.95,72.783419822789414878,5387940,21996,392152699.00,698154,12.96,7.70,2.35
18-March-2020,80.00,80.50,75.10,75.50,77.174447764260613809,3815807,18983,294482798.00,824660,21.61,5.40,-4.50
17-March-2020,82.70,84.80,77.50,77.90,81.611623006136913740,5206037,20913,424873129.00,1102680,21.18,7.30,-4.80
16-March-2020,86.75,87.65,82.20,82.95,84.977096964848132666,3827222,20470,325226215.00,1034824,27.04,5.45,-3.80
13-March-2020,82.20,94.20,78.00,89.75,87.162926031210419188,10613571,36905,925109904.00,3822509,36.02,16.20,7.55
12-March-2020,92.70,94.90,85.75,88.00,89.610134496230124169,8037400,32447,720232495.00,1590474,19.79,9.15,-4.70
11-March-2020,105.20,106.50,97.75,99.00,102.030107697646957824,5742651,21699,585923300.00,1063867,18.53,8.75,-6.20
9-March-2020,110.00,110.20,104.35,105.80,107.178498324793466284,3906384,22659,418680371.00,972753,24.90,5.85,-4.20
6-March-2020,114.30,117.25,112.95,114.25,114.896673924526410864,4170651,20453,479193928.00,860257,20.63,4.30,-0.05
5-March-2020,128.00,129.80,124.30,125.65,126.448139631529279839,4052208,17431,512394163.00,391126,9.65,5.50,-2.35
4-March-2020,130.50,130.50,120.55,126.30,124.935904692227899308,3369295,18596,420945919.00,341187,10.13,9.95,-4.20
3-March-2020,126.75,131.30,125.25,130.40,127.981848142314787167,3144747,17496,402470533.00,230440,7.33,6.05,3.65
2-March-2020,133.50,133.80,123.80,125.20,128.928862367225490632,4629842,24339,596920262.00,421726,9.11,10.00,-8.30
28-February-2020,139.00,139.50,127.05,129.00,132.459983224067410094,4047465,26654,536127146.00,816257,20.17,12.45,-10.00
27-February-2020,144.70,146.70,141.10,145.00,143.260466540939939701,1913144,11496,274077902.00,162455,8.49,5.60,0.30
26-February-2020,147.65,147.95,143.80,144.50,145.647028802695739768,1794832,12007,261411948.00,239060,13.32,4.15,-3.15
25-February-2020,152.00,153.40,147.45,149.85,149.889969574138065037,2097229,11607,314353591.00,173829,8.29,5.95,-2.15
24-February-2020,154.40,155.80,149.55,150.60,153.291748695349087480,1867741,11322,286309284.00,302702,16.21,6.25,-3.80
