"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Apr-2019","    11873.50","    11876.10","    11814.00","    11861.40","      641596176","        23349.24"
"03-Apr-2019","    11886.50","    11912.65","    11780.55","    11794.60","      660309707","        24526.15"
"04-Apr-2019","    11813.55","    11814.40","    11711.00","    11753.50","      648258414","        24295.23"
"05-Apr-2019","    11794.05","    11842.05","    11767.10","    11820.10","      585478908","        18917.33"
"08-Apr-2019","    11856.15","    11862.25","    11706.80","    11760.10","      611191962","        19561.51"
"09-Apr-2019","    11768.30","    11837.15","    11721.30","    11825.65","      535902983","        19837.97"
"10-Apr-2019","    11803.10","    11835.60","    11731.20","    11743.90","      592384227","        26587.23"
"11-Apr-2019","    11752.00","    11770.40","    11713.95","    11760.00","      501921193","        18518.99"
"12-Apr-2019","    11775.40","    11820.25","    11746.80","    11807.85","      468447694","        17899.16"
"15-Apr-2019","    11833.00","    11868.85","    11812.25","    11856.45","      512056678","        18839.79"
"16-Apr-2019","    11902.00","    11972.50","    11898.00","    11950.05","      621572520","        22354.98"
"18-Apr-2019","    12013.70","    12013.70","    11894.65","    11913.35","      573791651","        23222.46"
"22-Apr-2019","    11885.05","    11885.05","    11735.75","    11745.90","      434148269","        17017.40"
"23-Apr-2019","    11765.50","    11797.40","    11716.50","    11727.65","      440462641","        18553.38"
"24-Apr-2019","    11750.75","    11883.20","    11726.60","    11869.55","      530746090","        21538.92"
"25-Apr-2019","    11880.00","    11938.55","    11770.20","    11787.40","      882694154","        34145.95"
"26-Apr-2019","    11829.80","    11894.85","    11806.65","    11886.70","      517783419","        22482.45"
"30-Apr-2019","    11879.75","    11881.65","    11782.65","    11874.25","      769626461","        28420.69"
"02-May-2019","    11851.45","    11915.20","    11823.50","    11845.60","      641085374","        23217.06"
"03-May-2019","    11843.35","    11882.85","    11814.05","    11828.05","      500002080","        19919.95"
"06-May-2019","    11723.70","    11748.60","    11684.25","    11708.85","      469289620","        18162.43"
"07-May-2019","    11760.90","    11767.85","    11597.35","    11610.10","      516723480","        20655.95"
"08-May-2019","    11591.15","    11591.45","    11459.00","    11470.80","      750320961","        21608.10"
"09-May-2019","    11435.00","    11469.05","    11368.60","    11415.90","      659627065","        21179.80"
"10-May-2019","    11427.40","    11456.60","    11364.80","    11391.85","      750713890","        21746.68"
"13-May-2019","    11371.20","    11405.90","    11228.05","    11249.85","      681360515","        19973.15"
"14-May-2019","    11250.05","    11388.90","    11201.20","    11318.00","      822711342","        24072.88"
"15-May-2019","    11363.45","    11383.60","    11232.40","    11253.85","      711657068","        22169.86"
"16-May-2019","    11274.50","    11365.10","    11229.75","    11341.60","      681607759","        21036.37"
"17-May-2019","    11344.70","    11502.35","    11340.55","    11485.85","      742572635","        25805.52"
"20-May-2019","    11734.55","    11919.50","    11672.10","    11903.95","      799654524","        30910.62"
"21-May-2019","    11940.55","    11957.75","    11759.65","    11786.30","      665336233","        25996.89"
"22-May-2019","    11806.65","    11855.10","    11760.10","    11811.30","      651781719","        23741.16"
"23-May-2019","    11974.75","    12115.90","    11704.75","    11745.50","     1019874149","        38310.87"
"24-May-2019","    11832.90","    11956.25","    11755.90","    11944.65","      739232097","        26438.57"
"27-May-2019","    11950.55","    12052.70","    11908.75","    12023.75","      683042290","        24356.87"
"28-May-2019","    12059.95","    12059.95","    11970.25","    12033.10","     1058069075","        38167.45"
"29-May-2019","    12014.85","    12030.15","    11939.60","    11962.35","      545315344","        20626.02"
"30-May-2019","    11968.55","    12059.65","    11963.60","    12038.20","      875194923","        25731.17"
"31-May-2019","    12092.45","    12136.65","    11935.90","    12028.25","      800233741","        28620.56"
"03-Jun-2019","    12061.15","    12204.05","    12024.80","    12190.85","      561032903","        22606.48"
"04-Jun-2019","    12155.80","    12200.80","    12108.15","    12122.60","      528209165","        19745.19"
"06-Jun-2019","    12141.85","    12141.85","    11921.10","    11932.95","      673613170","        26137.67"
"07-Jun-2019","    11951.65","    11983.00","    11854.25","    11957.05","      490196986","        18786.77"
"10-Jun-2019","    12019.50","    12058.60","    11959.55","    12006.85","      492817086","        16586.20"
"11-Jun-2019","    12042.45","    12085.10","    11984.10","    12053.60","      510749542","        18892.92"
"12-Jun-2019","    12050.00","    12050.05","    11953.25","    11989.20","      443050034","        17418.94"
"13-Jun-2019","    11960.05","    12011.65","    11897.15","    11995.20","      649688906","        22507.39"
"14-Jun-2019","    11991.15","    11992.95","    11874.80","    11899.35","      558562993","        19544.55"
"17-Jun-2019","    11916.40","    11916.45","    11729.00","    11743.00","      500376784","        19985.01"
"18-Jun-2019","    11748.45","    11797.45","    11711.85","    11761.65","      557132144","        20579.77"
"19-Jun-2019","    11814.05","    11869.80","    11686.95","    11753.05","      664908409","        22742.70"
"20-Jun-2019","    11718.15","    11913.10","    11695.15","    11901.15","      650015464","        22794.57"
"21-Jun-2019","    11893.60","    11893.95","    11783.85","    11802.45","      717435942","        28523.61"
"24-Jun-2019","    11807.05","    11833.85","    11754.15","    11782.95","      451400585","        16084.28"
"25-Jun-2019","    11762.40","    11888.15","    11732.65","    11871.90","      493749317","        19801.89"
"26-Jun-2019","    11844.35","    11953.05","    11833.55","    11928.85","-","-"
"27-Jun-2019","    11941.90","    11992.60","    11912.10","    11931.35","      852288099","        28750.47"
"28-Jun-2019","    11951.40","    11961.50","    11867.90","    11882.10","      494739651","        19245.62"
"01-Jul-2019","    11932.85","    11974.75","    11925.70","    11957.50","      435729215","        16002.36"
"02-Jul-2019","    11983.45","    12008.20","    11910.70","    12001.60","      500301904","        16310.70"
"03-Jul-2019","    12025.20","    12039.20","    11981.45","    12015.20","      529062743","        17906.98"
"04-Jul-2019","    12027.00","    12066.75","    12022.90","    12044.80","      621656629","        19173.07"
"05-Jul-2019","    12063.90","    12081.70","    11888.60","    11904.05","      800017085","        24446.34"
"08-Jul-2019","    11858.70","    11860.05","    11613.80","    11650.35","      676971875","        23021.27"
"09-Jul-2019","    11626.45","    11679.50","    11553.45","    11655.85","      601945562","        25198.40"
"10-Jul-2019","    11635.50","    11688.00","    11570.45","    11593.80","      517327104","        20892.05"
"11-Jul-2019","    11655.40","    11692.80","    11613.05","    11678.60","      515459796","        19568.64"
"12-Jul-2019","    11697.10","    11738.85","    11641.45","    11654.85","      522356896","        20756.19"
"15-Jul-2019","    11712.65","    11716.95","    11634.65","    11692.65","      514667482","        19583.30"
"16-Jul-2019","    11698.55","    11778.55","    11677.15","    11773.15","      659503243","        20335.33"
"17-Jul-2019","    11780.60","    11819.45","    11762.70","    11798.45","      648150183","        19742.39"
"18-Jul-2019","    11787.00","    11787.55","    11688.25","    11701.40","      690348502","        21030.04"
"19-Jul-2019","    11736.75","    11750.45","    11498.95","    11519.25","      708959465","        23834.02"
"22-Jul-2019","    11493.80","    11498.00","    11397.80","    11456.25","      705728307","        23740.85"
"23-Jul-2019","    11480.85","    11498.95","    11408.25","    11436.55","      677175001","        23512.99"
"24-Jul-2019","    11429.55","    11465.50","    11322.80","    11360.15","      708854870","        24019.64"
"25-Jul-2019","    11381.75","    11456.65","    11339.45","    11352.35","      789190281","        29697.55"
"26-Jul-2019","    11350.35","    11416.05","    11312.75","    11394.70","      776989626","        24346.12"
"29-Jul-2019","    11413.85","    11416.35","    11252.95","    11290.90","     1287644420","        22652.68"
"30-Jul-2019","    11313.00","    11367.50","    11167.10","    11179.55","     1027842998","        25177.09"
"31-Jul-2019","    11129.45","    11245.55","    11089.20","    11221.20","      863147144","        27779.96"
"01-Aug-2019","    11164.05","    11186.80","    10981.95","    11080.90","      803068344","        25245.67"
"02-Aug-2019","    11030.05","    11180.80","    10944.40","    11100.45","     1005932582","        29326.82"
"05-Aug-2019","    11001.60","    11004.40","    10887.45","    10970.05","      791957616","        24641.49"
"06-Aug-2019","    10923.00","    11122.40","    10921.45","    11058.90","      826578515","        25880.90"
"07-Aug-2019","    11070.05","    11090.40","    10951.30","    10970.55","      879003009","        25407.64"
"08-Aug-2019","    11017.00","    11169.85","    10960.75","    11144.15","      863782500","        26095.34"
"09-Aug-2019","    11198.95","    11296.60","    11175.90","    11222.20","      887924510","        26046.90"
"13-Aug-2019","    11248.00","    11253.20","    11004.90","    11027.40","     1034564056","        29466.84"
"14-Aug-2019","    11096.70","    11178.20","    11036.10","    11133.75","      868086016","        25506.57"
"16-Aug-2019","    11141.95","    11172.80","    11029.10","    11154.55","      895118491","        23332.94"
"19-Aug-2019","    11200.25","    11251.45","    11144.00","    11158.95","      645261155","        18027.94"
"20-Aug-2019","    11169.00","    11179.35","    11083.90","    11115.60","      774295643","        20932.05"
"21-Aug-2019","    11119.05","    11131.15","    11000.75","    11012.00","      868735164","        20896.08"
"22-Aug-2019","    10999.10","    11001.80","    10815.45","    10836.85","     1109590806","        23878.59"
"23-Aug-2019","    10797.25","    10958.95","    10730.90","    10925.90","     1072172091","        25729.56"
"26-Aug-2019","    11098.75","    11164.05","    10852.45","    11152.65","     1147522062","        27569.80"
"27-Aug-2019","    11201.80","    11249.35","    11154.50","    11213.70","     1202290996","        37681.31"
"28-Aug-2019","    11212.85","    11239.25","    11096.70","    11154.55","      912210588","        21010.36"
"29-Aug-2019","    11107.60","    11135.85","    11034.30","    11069.30","      989250934","        23992.56"
"30-Aug-2019","    11110.10","    11174.35","    11002.20","    11155.10","      971311298","        26138.20"
"03-Sep-2019","    11092.10","    11098.10","    10900.45","    10925.20","      722969994","        21112.26"
"04-Sep-2019","    10919.95","    10977.05","    10861.95","    10964.30","      776602270","        23428.90"
"05-Sep-2019","    10983.05","    11043.25","    10945.80","    10975.00","      842545723","        22153.36"
"06-Sep-2019","    11011.50","    11078.25","    10989.50","    11068.15","      756179287","        21658.81"
"09-Sep-2019","    11059.35","    11147.70","    11015.30","    11122.95","      616866329","        17659.13"
"11-Sep-2019","    11147.90","    11179.05","    11129.45","    11161.65","     1042362202","        25844.35"
"12-Sep-2019","    11185.50","    11212.30","    11096.45","    11113.50","      859345190","        21580.36"
"13-Sep-2019","    11122.00","    11213.65","    11071.10","    11205.10","      929292369","        22313.99"
"16-Sep-2019","    11123.90","    11186.55","    11100.65","    11139.85","      650416707","        19764.77"
"17-Sep-2019","    11137.15","    11137.15","    10931.55","    10951.55","      851220149","        22055.91"
"18-Sep-2019","    11007.90","    11020.00","    10938.25","    10980.80","      798888585","        20215.80"
"19-Sep-2019","    10986.45","    10986.45","    10812.70","    10848.85","     1120155190","        19913.70"
"20-Sep-2019","    10891.55","    11524.00","    10831.40","    11432.00","     2045265251","        63828.60"
"23-Sep-2019","    11692.05","    11837.65","    11630.30","    11746.25","     1338329722","        48476.23"
"24-Sep-2019","    11741.25","    11797.80","    11685.75","    11737.45","      965535012","        32024.36"
"25-Sep-2019","    11713.10","    11713.55","    11558.75","    11581.60","      934419558","        30170.99"
"26-Sep-2019","    11609.50","    11751.15","    11606.30","    11714.85","     1196607574","        36975.92"
"27-Sep-2019","    11700.65","    11741.15","    11651.25","    11663.50","      979136708","        24793.69"
"30-Sep-2019","    11643.55","    11653.90","    11532.10","    11613.30","     1439560001","        31437.98"
"01-Oct-2019","    11655.50","    11694.60","    11380.80","    11497.50","     1876909436","        36949.56"
"03-Oct-2019","    11458.90","    11504.60","    11393.55","    11444.80","     1395458125","        27633.14"
"04-Oct-2019","    11516.45","    11529.10","    11287.50","    11303.40","     1247901278","        27634.63"
"07-Oct-2019","    11320.55","    11349.05","    11225.30","    11239.05","     1061142532","        24355.74"
"09-Oct-2019","    11263.80","    11431.40","    11200.95","    11423.65","     1204890333","        27251.82"
"10-Oct-2019","    11390.10","    11404.65","    11320.40","    11345.00","     1254008680","        25731.48"
"11-Oct-2019","    11368.90","    11468.95","    11299.50","    11412.95","     1159991457","        29424.98"
"14-Oct-2019","    11444.60","    11530.60","    11403.90","    11455.70","      973252899","        23123.85"
"15-Oct-2019","    11475.15","    11575.75","    11457.65","    11544.45","      897267904","        25690.47"
"16-Oct-2019","    11580.80","    11602.75","    11537.55","    11588.65","     1093555770","        27875.82"
"17-Oct-2019","    11592.60","    11730.25","    11567.30","    11718.35","     1269119374","        28009.87"
"18-Oct-2019","    11715.10","    11828.15","    11688.05","    11806.20","     1266569197","        29509.97"
"22-Oct-2019","    11806.05","    11863.55","    11733.50","    11749.90","     1288981608","        37867.95"
"23-Oct-2019","    11758.85","    11812.95","    11713.90","    11762.45","     1047120652","        29470.24"
"24-Oct-2019","    11817.45","    11836.35","    11690.85","    11738.25","     1675387538","        31195.55"
"25-Oct-2019","    11794.50","    11795.35","    11641.95","    11734.35","-","-"
"27-Oct-2019","    11814.10","    11824.80","    11761.00","    11782.50","      274741328","         4386.81"
"29-Oct-2019","    11796.40","    11961.75","    11779.75","    11942.05","     1602095073","        34384.78"
"30-Oct-2019","    12033.40","    12038.10","    11943.10","    12002.95","     1290447981","        32297.57"
"31-Oct-2019","    12050.35","    12099.10","    12014.35","    12037.25","     2125487687","        38729.70"
"01-Nov-2019","    12049.25","    12082.05","    12011.60","    12047.80","     1908441647","        31986.59"
"04-Nov-2019","    12084.15","    12140.60","    12056.35","    12089.15","     1247189596","        29637.89"
"05-Nov-2019","    12119.35","    12123.80","    12004.15","    12056.15","     1037106079","        28097.58"
"06-Nov-2019","    12051.60","    12139.60","    11991.05","    12104.20","     1029509863","        30410.03"
"07-Nov-2019","    12160.25","    12161.60","    12090.35","    12152.95","     1050826641","        29804.00"
"08-Nov-2019","    12133.05","    12173.95","    12026.40","    12044.85","     1333744868","        32266.89"
"11-Nov-2019","    12015.90","    12071.05","    12000.50","    12053.30","      950926939","        23303.28"
"13-Nov-2019","    12053.65","    12099.00","    11961.75","    11980.65","     1159719494","        28278.91"
"14-Nov-2019","    11998.10","    12029.45","    11935.85","    12001.10","     1378079286","        25931.24"
"15-Nov-2019","    12034.55","    12096.10","    12008.55","    12022.80","     1653923262","        28775.35"
"18-Nov-2019","    12043.90","    12071.35","    11995.20","    12010.90","     1272353250","        23482.06"
"19-Nov-2019","    12041.40","    12071.95","    12000.85","    12054.70","     1906401025","        32644.39"
"20-Nov-2019","    12117.35","    12156.35","    12083.80","    12116.20","     2681802230","        31773.66"
"21-Nov-2019","    12146.05","    12148.25","    12070.90","    12082.70","     1654076974","        28513.56"
"22-Nov-2019","    12083.20","    12083.95","    11999.50","    12031.20","     1146476236","        25723.43"
"25-Nov-2019","    12039.95","    12203.15","    12037.30","    12192.65","     1295685591","        26960.50"
"26-Nov-2019","    12230.95","    12255.15","    12117.60","    12150.70","     2947394322","        69911.56"
"27-Nov-2019","    12183.00","    12230.60","    12172.00","    12217.50","     1172561401","        26171.33"
"28-Nov-2019","    12246.75","    12286.60","    12216.35","    12278.45","     1570598065","        31990.22"
"29-Nov-2019","    12275.95","    12277.30","    12145.60","    12182.60","     1603807228","        33353.36"
"02-Dec-2019","    12255.40","    12255.50","    12147.70","    12175.15","     2434824538","        31179.78"
"03-Dec-2019","    12196.15","    12196.90","    12079.15","    12115.80","     1560648131","        25010.67"
"04-Dec-2019","    12089.25","    12172.05","    12057.65","    12160.85","     1670720452","        28674.99"
"05-Dec-2019","    12183.90","    12190.80","    12106.90","    12126.50","     1070921388","        25178.73"
"06-Dec-2019","    12156.15","    12166.05","    11990.30","    12024.95","     1338642525","        24301.57"
"09-Dec-2019","    12041.25","    12082.25","    11987.30","    12033.30","     1115320862","        22113.41"
"10-Dec-2019","    12046.40","    12049.35","    11935.00","    11945.80","     1222345671","        22636.14"
"11-Dec-2019","    11957.75","    12013.30","    11918.95","    11999.95","     1415176257","        24354.60"
"12-Dec-2019","    12037.95","    12099.05","    12026.40","    12065.85","     1061800238","        23746.77"
"13-Dec-2019","    12120.15","    12194.60","    12118.25","    12182.70","     1131609701","        27441.01"
"16-Dec-2019","    12222.85","    12226.00","    12137.40","    12144.85","      773530469","        21280.81"
"17-Dec-2019","    12173.40","    12266.15","    12160.90","    12248.95","      972559023","        25946.58"
"18-Dec-2019","    12280.05","    12319.20","    12240.75","    12304.25","     1029683849","        27688.75"
"19-Dec-2019","    12306.70","    12352.65","    12280.35","    12343.85","     1007227537","        24519.89"
"20-Dec-2019","    12351.90","    12378.80","    12340.05","    12363.40","     1203286549","        33221.72"
"23-Dec-2019","    12330.35","    12381.40","    12304.40","    12354.95","      902079631","        22567.18"
"24-Dec-2019","    12362.25","    12375.00","    12300.30","    12312.10","      725662777","        17944.63"
"26-Dec-2019","    12311.25","    12319.55","    12221.65","    12229.15","      865726853","        20886.92"
"27-Dec-2019","    12273.95","    12355.65","    12259.35","    12344.60","      711181375","        18475.38"
"30-Dec-2019","    12373.05","    12387.30","    12313.10","    12354.25","      710778770","        18112.89"
"31-Dec-2019","    12347.25","    12347.25","    12252.55","    12267.75","      753781413","        19123.69"
"01-Jan-2020","    12299.85","    12320.75","    12263.20","    12279.05","      446251194","        12946.17"
"02-Jan-2020","    12294.95","    12387.65","    12292.20","    12380.50","      645781490","        19429.69"
"03-Jan-2020","    12359.70","    12368.60","    12292.40","    12328.60","      671669795","        21761.81"
"06-Jan-2020","    12270.25","    12278.25","    12070.75","    12090.60","      652762014","        21896.93"
"07-Jan-2020","    12174.65","    12255.75","    12106.30","    12154.95","      736051577","        23115.45"
