Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-March-2020,963.00,971.10,924.15,933.50,944.800272758988888771,94589,6138,89367713.00,18091,19.13,46.95,-29.50
30-March-2020,934.00,952.50,885.05,944.15,923.767225159035928680,55805,4086,51550830.00,13343,23.91,67.45,10.15
27-March-2020,941.00,963.75,895.50,936.95,936.089663659478975324,110513,6640,103450077.00,28851,26.11,68.25,-4.05
26-March-2020,885.00,959.40,872.60,928.45,911.583379096839602430,165707,7875,151055747.00,53512,32.29,86.80,43.45
25-March-2020,800.00,897.85,784.55,883.50,837.654012717485780509,131158,6904,109865025.00,21179,16.15,113.30,83.50
24-March-2020,830.00,856.30,720.00,816.25,787.767101914968702984,161517,11337,127237779.00,34147,21.14,136.30,-13.75
23-March-2020,860.00,895.00,775.00,798.05,806.784666868826893086,184672,9408,148990538.00,90804,49.17,120.00,-61.95
20-March-2020,910.00,934.05,866.25,906.55,900.538374710425977332,152379,9265,137223137.00,36720,24.10,67.80,-3.45
19-March-2020,890.00,924.25,840.10,899.80,885.145531145396483398,155946,8620,138034905.00,34146,21.90,84.15,9.80
18-March-2020,1011.15,1027.50,921.00,930.40,939.912188841907833039,243124,10092,228515211.00,149527,61.50,106.50,-80.75
17-March-2020,1000.00,1038.00,978.50,1001.70,1012.977555450268298863,90757,4172,91934804.00,17861,19.68,59.50,1.70
16-March-2020,1064.00,1064.00,983.35,1011.15,1012.645873685513898838,113067,7339,114496831.00,34961,30.92,80.65,-52.85
13-March-2020,1030.00,1139.25,945.05,1084.10,1057.930947490235787646,172825,9523,182836916.00,38192,22.10,194.20,54.10
12-March-2020,1169.00,1169.00,1065.00,1078.20,1096.876520572028091002,105799,6975,116048439.00,31751,30.01,104.00,-90.80
11-March-2020,1203.50,1212.90,1178.25,1188.85,1190.421460014673514306,54520,3153,64901778.00,15992,29.33,34.65,-14.65
9-March-2020,1240.00,1241.50,1175.25,1202.90,1203.184888567393475939,58062,3612,69859321.00,17354,29.89,66.25,-37.10
6-March-2020,1240.00,1247.65,1221.00,1244.30,1232.978148638638863325,89102,3600,109860819.00,62321,69.94,26.65,4.30
5-March-2020,1255.10,1264.95,1243.45,1260.40,1256.150832043343653250,31008,1735,38950725.00,6970,22.48,21.50,5.30
4-March-2020,1259.95,1265.70,1218.10,1250.55,1239.707660037290242386,51488,2274,63830068.00,8632,16.76,47.60,-9.40
3-March-2020,1295.00,1295.00,1225.20,1247.05,1241.909904361265731584,86053,3035,106870073.00,39624,46.05,69.80,-47.95
2-March-2020,1263.00,1294.20,1229.25,1243.50,1280.338352232108487401,90923,3925,116412204.00,44109,48.51,64.95,-19.50
28-February-2020,1273.00,1273.00,1235.60,1254.75,1255.463346789723692281,70103,3937,88011747.00,32636,46.55,37.40,-18.25
27-February-2020,1260.45,1285.70,1251.00,1280.00,1273.327856446133665197,59462,3282,75714621.00,8432,14.18,34.70,19.55
26-February-2020,1252.00,1266.60,1245.40,1255.55,1255.245708409144846135,25282,1565,31735122.00,6422,25.40,21.20,3.55
25-February-2020,1296.90,1296.90,1257.40,1260.25,1268.289530812324929971,28560,1721,36222349.00,6149,21.53,39.50,-36.65
24-February-2020,1322.00,1322.00,1275.20,1279.80,1294.364666124288128168,31958,2663,41365306.00,11732,36.71,46.80,-42.20
20-February-2020,1332.00,1340.60,1319.75,1322.70,1330.383820449786032960,43932,2341,58446422.00,13797,31.41,20.85,-9.30
19-February-2020,1311.10,1333.40,1311.10,1329.90,1323.584739329952040851,57966,2641,76722913.00,16881,29.12,22.30,18.80
18-February-2020,1317.00,1318.40,1302.00,1311.10,1310.397377226281753117,66647,3019,87334054.00,24468,36.71,16.40,-5.90
