Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-March-2020,3.19,3.23,3.05,3.11,3.126480930728893075,17906138,109759,55983199.00,6904797,38.56,0.18,-0.08
30-March-2020,3.27,3.27,3.11,3.16,3.158637044272293496,16274219,18004,51404351.00,7368991,45.28,0.16,-0.11
27-March-2020,3.30,3.31,3.21,3.22,3.263331671957706052,20174045,161779,65834600.00,8075834,40.03,0.10,-0.08
26-March-2020,3.38,3.39,3.25,3.27,3.287553613938859464,24521375,118318,80615335.00,9998146,40.77,0.14,-0.11
25-March-2020,3.36,3.45,3.26,3.34,3.344548069611002897,21155736,77013,70756376.00,7458465,35.26,0.19,-0.02
24-March-2020,3.38,3.45,3.16,3.36,3.283784374566846185,39434606,130870,129494743.00,11036209,27.99,0.29,-0.02
23-March-2020,3.30,3.39,3.11,3.15,3.212713472375081100,41143614,106413,132182643.00,15756614,38.30,0.28,-0.15
20-March-2020,3.58,3.58,3.32,3.46,3.452550947737020655,55786678,140797,192606348.00,14806610,26.54,0.26,-0.12
19-March-2020,3.26,3.57,3.03,3.33,3.308791483445722104,81456981,177636,269524165.00,22368661,27.46,0.54,0.07
18-March-2020,5.33,5.57,2.91,3.16,3.671316815869784692,242832280,211995,891514233.00,69628295,28.67,2.66,-2.17
17-March-2020,6.01,6.25,4.71,4.85,5.436492640771164261,76564544,133662,416242580.00,19278260,25.18,1.54,-1.16
16-March-2020,5.55,6.75,5.15,5.73,5.904062665693630731,109141567,329433,644378651.00,25891840,23.72,1.60,0.18
13-March-2020,3.86,5.80,3.78,5.63,5.273171978434932086,130597502,167201,688663088.00,32830696,25.14,2.02,1.77
12-March-2020,4.70,4.70,4.05,4.20,4.375755024027610338,130010432,146634,568893801.00,50795247,39.07,0.65,-0.50
11-March-2020,4.35,4.94,4.10,4.34,4.489142329316163736,100134599,122097,449518467.00,31461764,31.42,0.84,-0.01
9-March-2020,3.41,4.30,3.30,4.00,3.842836077536766439,77550616,129103,298014305.00,18075696,23.31,1.00,0.59
6-March-2020,3.38,3.44,3.20,3.31,3.330131077434140632,49329391,97122,164273338.00,11187193,22.68,0.24,-0.07
5-March-2020,3.41,3.85,3.31,3.59,3.521401258189893372,54995832,82754,193662392.00,8505128,15.46,0.54,0.18
4-March-2020,3.73,3.78,3.41,3.59,3.555630730117415104,41997067,83516,149326062.00,8646851,20.59,0.37,-0.14
3-March-2020,3.60,3.90,3.31,3.66,3.560783008541154709,48299090,141035,171982579.00,10237884,21.20,0.59,0.06
2-March-2020,3.93,4.09,3.31,3.45,3.699253900691443519,34949637,176708,129287581.00,9203453,26.33,0.78,-0.48
28-February-2020,3.80,3.94,3.57,3.86,3.726721207045072897,55490753,116000,206798566.00,11896379,21.44,0.37,0.06
